era,lightgbm_None_1_1140_20-baseline
2017-12-29,0.016335033813386274
2018-01-05,-0.020970953850217258
2018-01-12,-0.0038399341816129106
2018-01-19,0.009265144830435241
2018-01-26,0.033754068515213856
2018-02-02,0.005333972840325748
2018-02-09,0.003956616009165401
2018-02-16,-0.020864035615530428
2018-02-23,-0.02579009102306251
2018-03-02,0.013059704331624103
2018-03-09,-0.010092666580324865
2018-03-16,0.031712678481092306
2018-03-23,-0.005373305868885777
2018-03-30,-0.01389053812302424
2018-04-06,0.04320960258140231
2018-04-13,0.010590397064996817
2018-04-20,0.003007253848970069
2018-04-27,0.02200468749986773
2018-05-04,-0.0008102212347713643
2018-05-11,0.025401360109212602
2018-05-18,-0.004604491132144642
2018-05-25,-0.01423094516005695
2018-06-01,-0.000680230162667075
2018-06-08,-0.013849893088087978
2018-06-15,-0.026840165060422576
2018-06-22,0.006056738205802382
2018-06-29,0.0275287978013597
2018-07-06,0.001690093733023202
2018-07-13,-0.016347435258444183
2018-07-20,-0.018276938268500034
2018-07-27,-0.02009210468295426
2018-08-03,0.01726800229912766
2018-08-10,0.00841538495829582
2018-08-17,-0.014746185182948828
2018-08-24,-0.029461490835875345
2018-08-31,0.009817712053987415
2018-09-07,-0.013393601353102398
2018-09-14,-0.008015140940330909
2018-09-21,0.03634749800596047
2018-09-28,-0.011027101722885808
2018-10-05,-0.0008561133447539167
2018-10-12,0.00250852735761111
2018-10-19,0.0018041843228262177
2018-10-26,-0.003234385119674955
2018-11-02,-0.004788313492061066
2018-11-09,0.03076087303215487
2018-11-16,-0.0023914112043940234
2018-11-23,0.00019644630357904685
2018-11-30,0.011281755368004204
2018-12-07,0.016381986479625646
2018-12-14,0.017814030668526704
2018-12-21,-0.028649246179632642
2018-12-28,-0.031914246392985214
2019-01-04,0.019712659094531664
2019-01-11,0.02417319491392866
2019-01-18,0.003163482074819505
2019-01-25,-0.015893443919299616
2019-02-01,-0.005898713948056169
2019-02-08,-0.01553271228623227
2019-02-15,-0.004848039119116021
2019-02-22,-0.012600850298022848
2019-03-01,-0.010975208063709219
2019-03-08,-0.022732602544841586
2019-03-15,-0.00126520738245589
2019-03-22,-0.010154591587925333
2019-03-29,0.007137067148615001
2019-04-05,0.0070462130250425956
2019-04-12,0.016580669727687937
2019-04-19,0.023676042833576657
2019-04-26,0.043753508473210724
2019-05-03,0.018403166288540107
2019-05-10,-0.006193713462143404
2019-05-17,-0.0012719339642365158
2019-05-24,-0.026926554961697474
2019-05-31,-0.03910855840650328
2019-06-07,-0.05804343362630461
2019-06-14,-0.05706050866078462
2019-06-21,-0.011165454478861636
2019-06-28,0.009722099465926715
2019-07-05,0.0016126161183015381
2019-07-12,0.014619600470311037
2019-07-19,-0.0018249391714740904
2019-07-26,-0.02926851200758589
2019-08-02,0.0010852353450901716
2019-08-09,-0.02573596158533604
2019-08-16,0.0040835742681360615
2019-08-23,0.015462900575758288
2019-08-30,0.016470754592753184
2019-09-06,0.0177077359993065
2019-09-13,0.02911680959316782
2019-09-20,-0.0050024086083493464
2019-09-27,-0.033487526869670534
2019-10-04,-0.030967870457114265
2019-10-11,-0.027281664743370366
2019-10-18,0.019323436098605717
2019-10-25,0.016334235656607448
2019-11-01,-0.023711566951070365
2019-11-08,-0.03060148378104967
2019-11-15,-0.010224451213623423
2019-11-22,-0.004282282029907185
2019-11-29,0.012208912076588072
2019-12-06,0.013957764713269464
2019-12-13,0.0008450227952493055
2019-12-20,0.03297682623606966
2019-12-27,0.011427170407820134
2020-01-03,0.016991559874126545
2020-01-10,0.004679307488370442
2020-01-17,-0.023380605422171703
2020-01-24,-0.008862146715370734
2020-01-31,-0.00903566436277534
2020-02-07,0.03842217922413534
2020-02-14,0.01500331129016087
2020-02-21,0.013766181931286954
2020-02-28,0.026113910210038727
2020-03-06,-0.0018766879871501055
2020-03-13,-0.011903526835447549
2020-03-20,0.014799505876848171
2020-03-27,0.010352877714345649
2020-04-03,-0.04832114082190544
2020-04-10,-0.03601489062004676
2020-04-17,-0.0058270998612925135
2020-04-24,0.02498659342387378
2020-05-01,-0.03514560929420208
2020-05-08,0.030503384592735237
2020-05-15,0.027783515333593998
2020-05-22,0.008229285401096955
2020-05-29,0.05109056984729276
2020-06-05,-0.02159866156888096
2020-06-12,-0.03610717667186116
2020-06-19,-0.007940552806085866
2020-06-26,-0.007270486911160371
2020-07-03,0.021745085848120144
2020-07-10,-0.005879286315609599
2020-07-17,0.0014943184499636212
2020-07-24,-0.0036021306463197814
2020-07-31,0.00957748345948497
2020-08-07,-0.002481948242127941
2020-08-14,0.027483496130338073
2020-08-21,0.03526943209524146
2020-08-28,0.0022512018261810814
2020-09-04,0.02784437310942262
2020-09-11,0.040088943015297356
2020-09-18,0.008718325971779243
2020-09-25,-0.009782053016154084
2020-10-02,0.020038700897351647
2020-10-09,-0.017243840953217484
2020-10-16,0.02756439269698752
2020-10-23,0.04433654160396212
2020-10-30,-0.003644786922111533
2020-11-06,-0.0008503525333260466
2020-11-13,-0.0017003485708537566
2020-11-20,0.022589505420961546
2020-11-27,0.04021759744974923
2020-12-04,0.029764346190733725
2020-12-11,0.0056196643783211295
2020-12-18,-0.0007172625983240003
2020-12-25,-0.031174536551237173
2021-01-01,-0.028148249442931768
2021-01-08,-0.05236127912355965
2021-01-15,-0.0063711064793883655
2021-01-22,0.023847480817920604
2021-01-29,0.0016058117565719114
2021-02-05,0.03966117603078059
2021-02-12,0.02127490002153433
2021-02-19,-0.004035305575589399
2021-02-26,-0.040696799575921996
