,lightgbm-gbdt_numerai_1_0_10-all,lightgbm-gbdt_numerai_1_0_10-baseline,lightgbm-gbdt_numerai_1_0_10-high_autocorrelation_small,lightgbm-gbdt_numerai_1_0_10-high_autocorrelation_standard,lightgbm-gbdt_numerai_1_0_10-high_calmar_small,lightgbm-gbdt_numerai_1_0_10-high_calmar_standard,lightgbm-gbdt_numerai_1_0_10-high_drawdown_small,lightgbm-gbdt_numerai_1_0_10-high_drawdown_standard,lightgbm-gbdt_numerai_1_0_10-high_kurt_small,lightgbm-gbdt_numerai_1_0_10-high_kurt_standard,lightgbm-gbdt_numerai_1_0_10-high_mean_small,lightgbm-gbdt_numerai_1_0_10-high_mean_standard,lightgbm-gbdt_numerai_1_0_10-high_sharpe_small,lightgbm-gbdt_numerai_1_0_10-high_sharpe_standard,lightgbm-gbdt_numerai_1_0_10-high_skew_small,lightgbm-gbdt_numerai_1_0_10-high_skew_standard,lightgbm-gbdt_numerai_1_0_10-high_volatility_small,lightgbm-gbdt_numerai_1_0_10-high_volatility_standard,lightgbm-gbdt_numerai_1_0_10-low_autocorrelation_small,lightgbm-gbdt_numerai_1_0_10-low_autocorrelation_standard,lightgbm-gbdt_numerai_1_0_10-low_calmar_small,lightgbm-gbdt_numerai_1_0_10-low_calmar_standard,lightgbm-gbdt_numerai_1_0_10-low_drawdown_small,lightgbm-gbdt_numerai_1_0_10-low_drawdown_standard,lightgbm-gbdt_numerai_1_0_10-low_kurt_small,lightgbm-gbdt_numerai_1_0_10-low_kurt_standard,lightgbm-gbdt_numerai_1_0_10-low_mean_small,lightgbm-gbdt_numerai_1_0_10-low_mean_standard,lightgbm-gbdt_numerai_1_0_10-low_sharpe_small,lightgbm-gbdt_numerai_1_0_10-low_sharpe_standard,lightgbm-gbdt_numerai_1_0_10-low_skew_small,lightgbm-gbdt_numerai_1_0_10-low_skew_standard,lightgbm-gbdt_numerai_1_0_10-low_volatility_small,lightgbm-gbdt_numerai_1_0_10-low_volatility_standard,lightgbm-gbdt_numerai_1_0_10-optimizer
2012-12-21,0.0124966150572315,0.062906775123987,0.034481854796132,0.0203069757127069,0.0434345600401535,0.030154020273597,0.0206547532201165,0.0192794167058415,0.0409837738458615,0.0360175870569938,0.0521953225068614,0.0293153633663847,0.0532321935890619,0.0324185649611888,0.0402509705297022,0.0242030340074634,0.0316473730895668,0.0220308499038067,0.0686984104663932,0.0660136821346033,0.0618675281022779,0.023441534295884,0.0671201087182857,0.054607530103337,0.0413055155508038,0.0291228504620099,0.0273377826329943,0.0194563461372067,0.027316877974079,0.0194502647818859,0.03809360972964,0.0302598738646501,0.0619538073308921,0.0512128035378409,0.0274506677911371
2012-12-28,0.0398086452934241,0.1002121910764966,0.0773194690715025,0.0445908028846939,0.0760659397405104,0.0592525515400898,0.0655292872294745,0.0568032461176754,0.0810391564095703,0.0600183026903213,0.0897468300976374,0.0523666611894057,0.0909405232853375,0.0594479657802082,0.0762263233271192,0.0560456372274489,0.0775660091302565,0.0522668711656243,0.1121626612461039,0.1009325911504619,0.1019670368808562,0.0589393585622256,0.1043135226013478,0.0846172062945292,0.0728887541446317,0.05576084748216,0.0703576474124002,0.0572866691361079,0.0747957471797407,0.0576316737344565,0.0855132336048395,0.0639724113745777,0.0971600737998039,0.0880255942035712,0.0648125789941565
2013-01-04,0.0306016424459269,0.0832507574025146,0.0854076210443348,0.057190930785742,0.0872203202428591,0.0741530863708224,0.0706918803386903,0.060074171948445,0.0795317416833417,0.0595225398167856,0.0980947728263584,0.0760341345137046,0.0987244350559675,0.0787713838802436,0.082525347996991,0.056588182163118,0.0895081704596678,0.0590177644685103,0.0846790174250177,0.0585515201115303,0.0864694499702809,0.0748828517285706,0.0755448490111762,0.0638751864716484,0.0734759864886135,0.0417727255754782,0.0752952688715802,0.0665557042781396,0.0724141575626674,0.0684257159059272,0.0763857540121579,0.0665886202003516,0.0773724571862319,0.074439648517139,0.0574316042640336
2013-01-11,0.0334469627765814,0.0786889276719682,0.0721476388752485,0.0560072520048323,0.0897377369221307,0.06297401571205,0.0696215046560604,0.0571809375582003,0.0628963594782537,0.0678730860852389,0.0801758325899504,0.0671209354841369,0.0885477128047213,0.0704978283438764,0.084705843634206,0.0595927018290993,0.0725812835867451,0.0557304575081324,0.0771095646653963,0.0632821418080292,0.0832424849513054,0.0748909798869859,0.0800693435960811,0.0635345245678674,0.0675743786908835,0.0651268617974942,0.0784514413191897,0.0712828482914616,0.0779324516378772,0.0700653369427827,0.065716395631785,0.0501007649946959,0.075649473695304,0.065163191075186,0.0639481785657135
2013-01-18,0.0422812540688576,0.0581320703227127,0.0590081516365387,0.0528589669248783,0.0642974854412462,0.0583384876057406,0.0683232986038689,0.0615688002401896,0.050859904267785,0.0596713233442553,0.0604437188402857,0.0581017087639414,0.0726773559834697,0.0533256503840373,0.0758372078174155,0.0524316193055665,0.0707581107101442,0.0425617606161181,0.0525437073540634,0.0416199918679297,0.0626461439703758,0.0713091943693639,0.0506238892287013,0.0498633326747609,0.0602703356238715,0.0619678871590285,0.0683118415631367,0.0681489606340604,0.0719538438612301,0.0724474513661098,0.0607238434861885,0.042201245734411,0.0527877423216597,0.0537214911413355,0.0541820641787706
2013-01-25,0.0221756619690487,0.0470541959030055,0.0537248021559036,0.0471581014573635,0.0578154719661608,0.0500410891801231,0.0599465315748482,0.0566871087801978,0.0442240557243525,0.0293102181764372,0.048162116721681,0.0522416705813668,0.0526424100197611,0.0409148937610439,0.0586395595559759,0.0449013750854374,0.057246862833545,0.0530180914678844,0.0360901944011938,0.0150126564644352,0.0473141015772462,0.0500855529824085,0.038644225349418,0.034663584609223,0.0591959223023691,0.0556810210505195,0.0567087754635148,0.0565433550465378,0.0599041402379235,0.0566857899386045,0.0525693085143088,0.0389878777874205,0.0476641598172728,0.0342025552694248,0.0469376665053554
2013-02-01,0.0114379432515651,0.0420576377616976,0.0353939646704112,0.030148733178331,0.0251091534455037,0.0303901424056342,0.0482286724381995,0.0371244037978185,0.0381352470396959,0.0226945053569064,0.0246828429067281,0.029028764813751,0.0289696630919477,0.0228434639284733,0.0410688415946603,0.0201772166605377,0.0375740585903471,0.0282550695465076,0.0241114645053444,0.0190796661904348,0.0401843537580176,0.0420061319100301,0.0240975691162057,0.0238782072396692,0.0412865360245001,0.0285083361725425,0.0500986212725595,0.0413658323785183,0.0497806947690658,0.0432767262928737,0.0388116745829682,0.0248760814516838,0.0406323411038496,0.0171161550692075,0.0393398846420944
2013-02-08,0.0139339812559822,0.0381966023204288,0.0344961472415884,0.0288789319792096,0.018819102443067,0.0249057887295118,0.0398664377363921,0.0383287446811704,0.0329724902988094,0.0159080865967537,0.0204216201754905,0.0241716631116274,0.0254101653489942,0.0195168449800148,0.0350838171072761,0.0292082265645399,0.0294904262989116,0.0243404658323183,0.0261838137045459,0.0149172478697223,0.0429041479660685,0.0344813723863857,0.0229723142405477,0.0237950889896484,0.0417469074323165,0.0282724241731385,0.0408393619514903,0.0375755964372125,0.0415481856298401,0.0394427687634545,0.0341997267090841,0.01943632201916,0.0332304962077866,0.0202022135757303,0.0392124657079823
2013-02-15,0.0411339157239479,0.0688530995832971,0.0651641032826821,0.0538001723123879,0.0407125968896118,0.0500244289532033,0.0711029750170108,0.0642543660020302,0.0628791946725364,0.0361818902166344,0.0472568479961102,0.0480288642499641,0.0548926726245644,0.0439443143892379,0.056570348282099,0.0531757010616715,0.0521022926280418,0.0526159197683609,0.0585922338276064,0.0464761199141816,0.0734030829867763,0.0541043448628259,0.0552098202380924,0.051327866719614,0.0598522978116878,0.0575825885611617,0.0656173037006107,0.0620537953019694,0.0638564022812561,0.0632215509800677,0.0717111347598427,0.047677796114358,0.06303730508419,0.0560506043263231,0.0525984961122115
2013-02-22,0.0635348016889919,0.0636736383933631,0.0751709457705037,0.0672530216737394,0.0436691849577768,0.0496996764664456,0.0778582602939818,0.0694177565389012,0.0574524779790023,0.0395239046571469,0.0473042883054064,0.0561213159800816,0.052181328219683,0.0518322013207865,0.0486756202603506,0.0630285121510906,0.0669901583670412,0.0658267105623942,0.0500421392251723,0.0481987640081994,0.0664544355433899,0.0557999563318927,0.0464116637526606,0.0462409877183114,0.0617086421674577,0.077270520154005,0.0681663791070136,0.0655818034111535,0.0626682783519111,0.0662313719627058,0.0633278431137181,0.0536193015763254,0.0687435676917215,0.0546318806521279,0.067920731495754
