,lightgbm-goss_numerai_1_0_10-all,lightgbm-goss_numerai_1_0_10-baseline,lightgbm-goss_numerai_1_0_10-high_autocorrelation_small,lightgbm-goss_numerai_1_0_10-high_autocorrelation_standard,lightgbm-goss_numerai_1_0_10-high_calmar_small,lightgbm-goss_numerai_1_0_10-high_calmar_standard,lightgbm-goss_numerai_1_0_10-high_drawdown_small,lightgbm-goss_numerai_1_0_10-high_drawdown_standard,lightgbm-goss_numerai_1_0_10-high_kurt_small,lightgbm-goss_numerai_1_0_10-high_kurt_standard,lightgbm-goss_numerai_1_0_10-high_mean_small,lightgbm-goss_numerai_1_0_10-high_mean_standard,lightgbm-goss_numerai_1_0_10-high_sharpe_small,lightgbm-goss_numerai_1_0_10-high_sharpe_standard,lightgbm-goss_numerai_1_0_10-high_skew_small,lightgbm-goss_numerai_1_0_10-high_skew_standard,lightgbm-goss_numerai_1_0_10-high_volatility_small,lightgbm-goss_numerai_1_0_10-high_volatility_standard,lightgbm-goss_numerai_1_0_10-low_autocorrelation_small,lightgbm-goss_numerai_1_0_10-low_autocorrelation_standard,lightgbm-goss_numerai_1_0_10-low_calmar_small,lightgbm-goss_numerai_1_0_10-low_calmar_standard,lightgbm-goss_numerai_1_0_10-low_drawdown_small,lightgbm-goss_numerai_1_0_10-low_drawdown_standard,lightgbm-goss_numerai_1_0_10-low_kurt_small,lightgbm-goss_numerai_1_0_10-low_kurt_standard,lightgbm-goss_numerai_1_0_10-low_mean_small,lightgbm-goss_numerai_1_0_10-low_mean_standard,lightgbm-goss_numerai_1_0_10-low_sharpe_small,lightgbm-goss_numerai_1_0_10-low_sharpe_standard,lightgbm-goss_numerai_1_0_10-low_skew_small,lightgbm-goss_numerai_1_0_10-low_skew_standard,lightgbm-goss_numerai_1_0_10-low_volatility_small,lightgbm-goss_numerai_1_0_10-low_volatility_standard,lightgbm-goss_numerai_1_0_10-optimizer
2012-12-21,0.019451785120716145,0.07712564897428095,0.04797182123654941,0.03074866279856139,0.05161987425962857,0.03785719704154304,0.04327093357355263,0.03380473388962911,0.04627987416088396,0.0400246300863554,0.059180709304596485,0.0355447616807998,0.05968185099150312,0.03310556807008815,0.050294708926750295,0.03725837358479568,0.048384213144242745,0.039612618263369585,0.08027484044664257,0.07874613975287052,0.07246048890173784,0.03261107786556368,0.0791446585687382,0.0663240212983191,0.05385287191649352,0.047757073376782824,0.043684845820076174,0.0316331199130337,0.046088501510631784,0.03137143159188451,0.041366329104012126,0.03274790836028219,0.07294262635326691,0.05875748498273791,0.04749405475915718
2012-12-28,0.025037638870055168,0.09081100494521684,0.06789111069555688,0.046101097438167274,0.0610008651825446,0.048251411499005165,0.06974792468644947,0.06522044941393863,0.06521552618695889,0.04858372932013675,0.0663823309811543,0.039720973982208266,0.07174599742068344,0.0459971416069415,0.07025539577512901,0.051059544426288114,0.0732434158420559,0.04424295796308789,0.09196512256177235,0.08677793487397802,0.0899151665893674,0.05758850082094199,0.08820737489205349,0.0734083439458768,0.0630453298633183,0.05743360852596442,0.06821623303110275,0.05946349288068275,0.07066250877537578,0.060821735462436,0.06851920084523985,0.04872385193417516,0.08749085601161932,0.08539999938430588,0.06251229586532085
2013-01-04,0.020567707617265802,0.05384115509152285,0.06697915793624395,0.04524980869950086,0.05618873776592131,0.052930642336144744,0.057932894397015836,0.04892322561836463,0.04876445469945949,0.043095171156115,0.06903330510534718,0.05396652577046486,0.06891112894701895,0.054367131906092596,0.06535950094033968,0.04278111453359775,0.0683349066852364,0.0407736305248069,0.051352033431469594,0.036771248006894554,0.058594891679621536,0.058960258416175186,0.044789566657747776,0.037005531923815525,0.06111876842099774,0.042064321921662616,0.061981359206025086,0.05066622051102818,0.059625353667930266,0.05216796105618458,0.05623036672636598,0.043513784237423435,0.0524802750710553,0.060917206803216994,0.04522328233865937
2013-01-11,0.02649384657579821,0.05564088403224445,0.0601566706161255,0.04348114771875608,0.06766625908631595,0.054255181284401696,0.06082751283382193,0.05475379581526261,0.0511122182180537,0.05824698080729622,0.06430724253782157,0.06064548200856166,0.0693746962298362,0.0605451440035079,0.07852717536898124,0.06042346975600019,0.057763359311673236,0.05007308554502593,0.058525313051200074,0.05183534384068234,0.0610479873391795,0.05813703188221821,0.05143552956767132,0.04480341809569987,0.06756745882846601,0.061683269152786026,0.06623211760028923,0.05973282904305372,0.06985370448384756,0.05681476150527441,0.049831082578813926,0.040859288736125855,0.05078160256921762,0.056761517008339805,0.05772030238996439
2013-01-18,0.04236985518385349,0.03720616712496899,0.05268443800439084,0.050772830758220214,0.04867771990965519,0.048684785084773405,0.06026670756097297,0.05659396220358151,0.040246674585494545,0.04961261443340424,0.04899660754336861,0.0500911368346532,0.05649829591346749,0.04597653160635584,0.06407407314696802,0.0478172961506656,0.060697683243183274,0.04334943216645819,0.0365544522588583,0.04286747265298951,0.041335857257770794,0.05863121499644881,0.03250457931069797,0.03539480878607894,0.06341338379807675,0.06484876005114493,0.05718380885061189,0.06035187156374913,0.06205305116180472,0.06282258239765207,0.046528760969648766,0.04275061083752089,0.03220497769555048,0.045934331506325504,0.05091451616194201
2013-01-25,0.022589778229317004,0.019945971948650686,0.03464530923286004,0.03356404753236878,0.03681725293093688,0.03184917664931054,0.04403621500029091,0.0385087614772011,0.029591319841733077,0.020913530564345653,0.024372098439570913,0.03634548445245106,0.03300843840974312,0.028524753804709015,0.042914069210410084,0.031936973818230026,0.035376135881440895,0.03164381417265336,0.015272091446414053,0.006902911101838048,0.023374112165393868,0.03562106360589442,0.014874178097148064,0.01976745721984515,0.045763897487397495,0.048101073196509525,0.03966161743560954,0.04211786569999436,0.04094466189986212,0.04293837357691357,0.02724283977610779,0.024985548186355993,0.017353035074559344,0.02723963687509572,0.02717426001326083
2013-02-01,0.0008166783376457665,0.010040437698980099,0.01756933002698467,0.005687660682256684,0.005396413325909338,0.0023951945438032032,0.030539286249056392,0.017675676071859596,0.012637393242018607,0.008116759975558342,0.0003082923670241727,0.0041600942362745325,0.004400947648012161,0.0003344156986049529,0.017987859147842615,-0.0027701847786931956,0.01558173356458362,0.011052207249074597,0.0004602152882740679,-0.003623917487375509,0.007642278754435203,0.028040524738206007,-0.0031796355786471615,0.0015057043670705878,0.017424076892521373,0.009415700952244931,0.03205518056816203,0.025427450492707837,0.0286404350052879,0.027678688805034,0.01346907859993418,0.013539296633048458,0.008651825093326265,0.002494129714470827,0.00873038035992378
2013-02-08,-0.010002761657922153,0.013642362616171525,0.012602212745148283,0.001181434359146394,-0.006978348797928194,-0.00679901899290533,0.019400308309603445,0.0060312805794347215,0.013743754995247376,-0.009898044871672984,-0.004235027558165697,-0.007393337543434203,-0.0014438727246844701,-0.008767583762975902,0.010944843362784713,-0.0040989142046107775,0.005747049302472652,-0.004027440842567695,0.008318428164813638,-0.005007198428197138,0.014787413829628528,0.011227966525606571,0.0019901729958045284,0.009110175717988656,0.011527711400531467,0.0054197862597327165,0.019129743773703897,0.01324362614663577,0.01939735333856292,0.015407403691072092,0.011528450143291603,0.0019619160852293533,0.009833589565851168,-0.00393602142600094,0.007697330189229879
2013-02-15,-0.002426336797826557,0.02933457887658648,0.020952687951834723,-0.0037145752046175862,-0.0010795252490864674,0.0008873089573106063,0.0280072297538577,0.02527394003493101,0.026863941337586197,-0.0059642657863762565,0.005297903617683634,0.0012963941607333051,0.010625093806341777,-0.0028988144523460356,0.021465202943888963,0.0050358073432660005,0.004299750549975767,-0.0036007653655140384,0.023027956614055205,0.0042539671130725435,0.03265063411767382,0.011383578922973281,0.02030856874843918,0.018273337423753516,0.019180479691787364,0.014963028113410921,0.029330686189035803,0.016504836324589035,0.025668938026998874,0.01777917287806936,0.030999093944363298,-0.0031271755627297134,0.02250580300370551,0.015737083305750393,-0.002580740048597333
2013-02-22,0.006941257331876899,0.021298406982494085,0.030241868090622386,0.008610254214406232,0.008366272638189108,0.0029755385858225873,0.031451779761453316,0.02607067168933206,0.016903406425732095,0.0008655977620571372,0.011162990129454988,0.0031652814656576,0.01138179606503058,0.002190650965822098,0.012208519676097134,0.009668186466364422,0.015552066891297296,0.011737216874087422,0.018685693691148277,0.0027824636359026524,0.024155656965533706,0.01857610560835577,0.011263137347006938,0.0005731160546041259,0.024405747336906522,0.024152139780444105,0.028900154536432864,0.023704901929047603,0.025526988920477972,0.02344648138246252,0.01883026850983234,-0.0008374602813401313,0.02100462935523934,0.01608186603479764,0.013542643515093229
