,lightgbm-goss_None_1_2000_10-all,lightgbm-goss_None_1_2000_10-baseline,lightgbm-goss_None_1_2000_10-high_autocorrelation_small,lightgbm-goss_None_1_2000_10-high_autocorrelation_standard,lightgbm-goss_None_1_2000_10-high_calmar_small,lightgbm-goss_None_1_2000_10-high_calmar_standard,lightgbm-goss_None_1_2000_10-high_drawdown_small,lightgbm-goss_None_1_2000_10-high_drawdown_standard,lightgbm-goss_None_1_2000_10-high_kurt_small,lightgbm-goss_None_1_2000_10-high_kurt_standard,lightgbm-goss_None_1_2000_10-high_mean_small,lightgbm-goss_None_1_2000_10-high_mean_standard,lightgbm-goss_None_1_2000_10-high_sharpe_small,lightgbm-goss_None_1_2000_10-high_sharpe_standard,lightgbm-goss_None_1_2000_10-high_skew_small,lightgbm-goss_None_1_2000_10-high_skew_standard,lightgbm-goss_None_1_2000_10-high_volatility_small,lightgbm-goss_None_1_2000_10-high_volatility_standard,lightgbm-goss_None_1_2000_10-low_autocorrelation_small,lightgbm-goss_None_1_2000_10-low_autocorrelation_standard,lightgbm-goss_None_1_2000_10-low_calmar_small,lightgbm-goss_None_1_2000_10-low_calmar_standard,lightgbm-goss_None_1_2000_10-low_drawdown_small,lightgbm-goss_None_1_2000_10-low_drawdown_standard,lightgbm-goss_None_1_2000_10-low_kurt_small,lightgbm-goss_None_1_2000_10-low_kurt_standard,lightgbm-goss_None_1_2000_10-low_mean_small,lightgbm-goss_None_1_2000_10-low_mean_standard,lightgbm-goss_None_1_2000_10-low_sharpe_small,lightgbm-goss_None_1_2000_10-low_sharpe_standard,lightgbm-goss_None_1_2000_10-low_skew_small,lightgbm-goss_None_1_2000_10-low_skew_standard,lightgbm-goss_None_1_2000_10-low_volatility_small,lightgbm-goss_None_1_2000_10-low_volatility_standard,lightgbm-goss_None_1_2000_10-optimizer
2012-12-21,0.0230270519222991,0.0697384176906871,0.0350898002858606,0.0216864931587651,0.0399550745848734,0.0255171768838227,0.0321496550305961,0.0237775291773595,0.0393526403234043,0.0373961542912831,0.0446337272924784,0.0237824702785577,0.0491299393404587,0.022169580822063,0.0391055852634959,0.0242961547608135,0.0429611645368981,0.0301886079819842,0.0693232697256078,0.0694418561543639,0.0654610389698234,0.0280703959067998,0.0680235700681355,0.0607092199560147,0.0369769208588538,0.0339411842996401,0.0342625459198748,0.0256908755951737,0.0379811046562048,0.0241137141011888,0.0295943455417275,0.025401631132727,0.0674042220371803,0.0549883749803035,0.0372121932928281
2012-12-28,0.0393666909945517,0.0837879271023548,0.0574801898273879,0.0353230174502409,0.0514047383795205,0.0446979777489449,0.0594430425532285,0.0557375568314483,0.0517368668457683,0.0417277570410986,0.059913778794444,0.0377586893210192,0.0641117765690807,0.0405408806292167,0.0529519571353418,0.0397908459343436,0.069883313428392,0.0372951485653895,0.0849639150868323,0.0794428947388357,0.0820965140809087,0.0506823494976874,0.0815155732973009,0.0691938722963463,0.0483913447581597,0.0488475006733198,0.0592099466912268,0.0475909416641863,0.0611722313524158,0.0485076086568348,0.057431714977126,0.0484536425149416,0.080622386310248,0.0806668847079494,0.0509131731010831
2013-01-04,0.0046352395282068,0.0400682618851263,0.0466409904706391,0.0176960838388729,0.0416319616022538,0.0304976668563513,0.0365973744883862,0.0303491579602534,0.0247871415987058,0.0221747791135007,0.0511260753066375,0.0374160128361068,0.0538786208958515,0.0349478995394192,0.0450135885518615,0.0219424314272981,0.0523397047209027,0.0172511380197949,0.0354054308581666,0.0176271540252995,0.0430729045028539,0.0375591002861933,0.0298347014583864,0.0196181800729843,0.0333737439653963,0.020768688365831,0.0426345418682182,0.0301783824108945,0.0436895939866501,0.0327479541972239,0.0288441258228758,0.0170855902933755,0.0355341902009373,0.0420008135541005,0.022568802064686
2013-01-11,0.0194190561275073,0.0402483227502689,0.0396535027098766,0.0293921156183274,0.0493382345999676,0.0296656424022191,0.0485082355466686,0.0460822471141338,0.0348630357329624,0.0412023985809935,0.0475415692106241,0.0351498255864876,0.0496894176176557,0.0380653942850605,0.0566115866559606,0.034606231949913,0.046728100939767,0.033389489474836,0.0431722527491749,0.0368267389123282,0.0458527383439534,0.0538672845522207,0.0348270908920715,0.0282203522489642,0.0438146466435994,0.0423015033949729,0.0538620946554076,0.0531835637016917,0.0549827279302415,0.0511841078998355,0.0333033756314182,0.0222204470961915,0.0330582971707985,0.0426075150885468,0.0368394253267603
2013-01-18,0.0309418389548233,0.0136315871330162,0.0242201841079096,0.0315973726353851,0.0249225007047946,0.0241751197476963,0.0383350673393239,0.0414544376293492,0.0185867571798779,0.0340022054850777,0.0239545717136011,0.0231856133297903,0.0344131313460066,0.0181292393533046,0.0436784401861517,0.0225365719723102,0.0439369874053421,0.0232644759601638,0.0141425710798504,0.0252390969303616,0.0211004319165266,0.0476490686025808,0.0078572385341553,0.0123636745554946,0.0342993247413999,0.0362265899432379,0.0397561222914767,0.0468608242002042,0.044290437111931,0.0498606593652567,0.0258033561864234,0.0225218687700371,0.0102813574024139,0.0273825183006808,0.0310800872463254
2013-01-25,-0.0030665893131287,0.0062398164221024,0.0163288603744599,0.0061813163444096,0.008823898085321,0.0064695774354972,0.0201009357369856,0.0198635442502076,4.738409438466337e-05,-0.0060377510166915,0.0019615884639596,0.0047296485621679,0.0094595797332487,-0.0052044315357239,0.0176887744630025,8.902180754174288e-05,0.0091715070481031,0.0029902849066643,0.0023717481994483,-0.0112070448442535,0.0093352318116031,0.0151999319706712,0.0037567202782619,0.004848155899615,0.025930027173037,0.0218297486597436,0.0161845414229742,0.0213851106368895,0.025371591961283,0.0216712992626164,0.010833435861491,-0.0048571993848256,0.0058706349462375,0.009663058150487,0.0010568631310168
2013-02-01,0.0106025524565459,0.0144241550718108,0.0176050874950349,0.0082907302475749,0.0046306847484388,0.0073271313287692,0.0339305022863223,0.0188919858011346,0.0087094446402881,0.0045267472376812,0.002510618909582,0.0091031473325515,0.0064098503737592,0.006878958711082,0.0166898445304319,0.0009800881139169,0.0148356438037624,0.0099274218162598,0.001311539462839,0.0021156193143323,0.0081801229500308,0.0226039074197219,0.001365268300842,-6.299243076215116e-05,0.0222602281283579,0.0099676258088344,0.0331216053665942,0.0221494355589586,0.0302434070963294,0.0228227134806928,0.0182440901235604,0.01663722732356,0.0114737007196154,0.0093532643370483,0.0134813065423762
2013-02-08,0.0060833619440242,0.0256025156270786,0.0237430076250588,0.0073202020101808,0.0056739137692192,0.0101324110123259,0.0262177958715121,0.0144278307911326,0.0209862043299239,0.0093794474540579,0.010979194901131,0.0085784656163812,0.0160539882918805,0.0081304181323592,0.0241090546627059,0.012704713303117,0.0163696161361483,0.0020132587070587,0.0177863400643978,0.0062000833001256,0.0250511363675684,0.0143437988021672,0.0132837029413731,0.0204604041703976,0.0257324418781032,0.0138551204663377,0.025523562362675,0.0158761359723779,0.0249368159254375,0.0181003057374553,0.0294499801327941,0.0085479924775256,0.0215509731700473,0.0146066065390854,0.0175809695770802
2013-02-15,0.0134508771892956,0.0490019942079784,0.0394834876989022,0.0151593222821579,0.0155960258341578,0.0146935175172275,0.047695961202684,0.0408951745630922,0.039676816138943,0.0128026801089289,0.0224872671992912,0.0130460552208882,0.0246151775460482,0.0107980328615268,0.0366591871803015,0.025032233145369,0.0211977312861912,0.0118929428282771,0.0407915594164165,0.0231653069247648,0.0492364719075531,0.0351863321615445,0.0374230476802131,0.0337420222815854,0.0372514061313371,0.0324686125183258,0.0451600778007692,0.0368317555193983,0.044976573337068,0.0371377816502777,0.0503990375604155,0.0155496863231222,0.040454207776077,0.0328684298195413,0.0110097117479376
2013-02-22,0.0185427849075066,0.0283107485166299,0.0328688351225626,0.0148295630278864,0.0165744570623498,0.0083375798124579,0.0398678483359113,0.0356633312337719,0.0212839678973574,0.0082298428797126,0.0181675567929451,0.0078453590149152,0.0214161400107254,0.0065308573664191,0.0184052444590018,0.0214509416316122,0.0222052852758344,0.0158530638889673,0.0220148019359805,0.0101617030689402,0.0301441273681317,0.0289021908014847,0.0139939538965935,0.0041861907166723,0.0305334242230518,0.0306080255699527,0.0373465819716644,0.0327559149696852,0.0337988529062613,0.0329391788243551,0.0245817917063924,0.0083629405681042,0.0306489359859952,0.024924254465119,0.0173832245179588
