,lightgbm-dart_None_1_2000_10-all,lightgbm-dart_None_1_2000_10-baseline,lightgbm-dart_None_1_2000_10-high_autocorrelation_small,lightgbm-dart_None_1_2000_10-high_autocorrelation_standard,lightgbm-dart_None_1_2000_10-high_calmar_small,lightgbm-dart_None_1_2000_10-high_calmar_standard,lightgbm-dart_None_1_2000_10-high_drawdown_small,lightgbm-dart_None_1_2000_10-high_drawdown_standard,lightgbm-dart_None_1_2000_10-high_kurt_small,lightgbm-dart_None_1_2000_10-high_kurt_standard,lightgbm-dart_None_1_2000_10-high_mean_small,lightgbm-dart_None_1_2000_10-high_mean_standard,lightgbm-dart_None_1_2000_10-high_sharpe_small,lightgbm-dart_None_1_2000_10-high_sharpe_standard,lightgbm-dart_None_1_2000_10-high_skew_small,lightgbm-dart_None_1_2000_10-high_skew_standard,lightgbm-dart_None_1_2000_10-high_volatility_small,lightgbm-dart_None_1_2000_10-high_volatility_standard,lightgbm-dart_None_1_2000_10-low_autocorrelation_small,lightgbm-dart_None_1_2000_10-low_autocorrelation_standard,lightgbm-dart_None_1_2000_10-low_calmar_small,lightgbm-dart_None_1_2000_10-low_calmar_standard,lightgbm-dart_None_1_2000_10-low_drawdown_small,lightgbm-dart_None_1_2000_10-low_drawdown_standard,lightgbm-dart_None_1_2000_10-low_kurt_small,lightgbm-dart_None_1_2000_10-low_kurt_standard,lightgbm-dart_None_1_2000_10-low_mean_small,lightgbm-dart_None_1_2000_10-low_mean_standard,lightgbm-dart_None_1_2000_10-low_sharpe_small,lightgbm-dart_None_1_2000_10-low_sharpe_standard,lightgbm-dart_None_1_2000_10-low_skew_small,lightgbm-dart_None_1_2000_10-low_skew_standard,lightgbm-dart_None_1_2000_10-low_volatility_small,lightgbm-dart_None_1_2000_10-low_volatility_standard,lightgbm-dart_None_1_2000_10-optimizer
2012-12-21,0.0128082845174237,0.055834633932911,0.02664146744876,0.0281304492905929,0.0403380099277315,0.0237693573561472,0.0229192979077083,0.0250278178228502,0.0364316893458711,0.0327079994659893,0.0471603403859269,0.0185270390272433,0.0451802891019375,0.0252678413156689,0.0381082429908807,0.0251380423880401,0.0292686129473558,0.0221940962857001,0.0587428517214971,0.0539684176675891,0.0552907323651607,0.0290599464429101,0.0533025092599589,0.0460219866868102,0.0374107875525238,0.0240848276634149,0.0230787434425262,0.0273311311506121,0.025652487039711,0.027634628789592,0.0377931527683206,0.0257993897791797,0.0552432217767168,0.0441645127210061,0.0235903374588904
2012-12-28,0.0293621257070941,0.0851592351879123,0.0605246376496978,0.0396323558965731,0.0628455604608716,0.0469412650577461,0.0513454703008799,0.0435059887551994,0.0676298009558636,0.0505382504310885,0.0724223730657444,0.0405175899785049,0.0717855725914051,0.0449377010318809,0.0631428476284936,0.0428727860236529,0.0626315894421373,0.043270241924824,0.0890287963781326,0.0820629982664698,0.0870403807429742,0.0492659749665966,0.0832239330592663,0.071905434232873,0.0592572854121857,0.0360368853623014,0.0517673529820658,0.0495206572853556,0.0596725406724373,0.0480366830607354,0.0707092794316831,0.0445832286893405,0.0809541360667281,0.0747983981481144,0.0524168402336222
2013-01-04,0.014849243813675,0.075649212422927,0.0691136586801589,0.045044761866427,0.0739840534291099,0.0554086304094959,0.0627320358555314,0.0498983114081284,0.0693188991363045,0.0442466475643209,0.0816563676505931,0.0577326881407378,0.0825952459259236,0.0620601637962621,0.0710570534521722,0.0380520646270866,0.0782544102784427,0.0470268812528074,0.0741933599697642,0.0491122017364761,0.0782400821711269,0.0627306804940285,0.0644641878561721,0.0513357690934354,0.0573421504048456,0.0332813857601308,0.0671516760932494,0.0576809907805578,0.0644310783108883,0.0589223082940954,0.0681790401124087,0.0567208139673253,0.0638564050336804,0.0625964997052466,0.0421785595340455
2013-01-11,0.0111361730321614,0.0637242446339071,0.0552464515757084,0.0385511301830889,0.0656247074547531,0.043950929489544,0.0560956724690559,0.0404806184871682,0.0528073922919405,0.0434217522330058,0.0620686670457606,0.0516039128864971,0.0688291804092567,0.0526664962043842,0.0643262721594696,0.0361995302715421,0.0608757596523439,0.0437464091114268,0.0587923044094752,0.0417627152184104,0.0668645161378884,0.0520829211405084,0.0596271089227863,0.0424310585969005,0.0512340846839618,0.0445625684398907,0.0618314695395607,0.049262500550176,0.0598873726370445,0.0490906573001415,0.0527820194630763,0.0370201106232172,0.0567274943514537,0.0416391187868979,0.044207156617392
2013-01-18,0.0441743390991778,0.059121863185109,0.0578236845755062,0.0600574256169311,0.0606633121209866,0.0553627122262258,0.0701854496242122,0.0622588959936269,0.0564240160993869,0.0577049132532489,0.058396727562796,0.0569048299087823,0.068782534986552,0.0510038810796532,0.0717523908950219,0.0532347578608951,0.072164462460024,0.0484965077154073,0.0500922825387264,0.0399787707830395,0.0631987552350265,0.0713693438332081,0.0528219224931774,0.0473108949503015,0.0568231030182258,0.05641504141748,0.0675182505417518,0.0702830254211149,0.0678041037080206,0.0729954798144676,0.0615521875311279,0.0508763260261679,0.0504831585783739,0.0515647032234953,0.052822495345214
2013-01-25,0.0285435943988977,0.0523417145121989,0.0540790053266518,0.0484439720107444,0.0605744885791585,0.0603926768452373,0.0605961552624756,0.0489434361626876,0.0485935663286029,0.0374444563114797,0.0573273121707308,0.0605062856281953,0.0597191256029902,0.0509409159585768,0.0580445735914958,0.0459681295284033,0.0607774017785712,0.0606236625299911,0.0386638195673743,0.0267168103863584,0.0548102087871164,0.0526149027522456,0.046182535490271,0.0425483732772068,0.0577958777482045,0.0552734989982173,0.0577723270054686,0.0570616597926697,0.0584038637226749,0.0574103991911031,0.0560077169537521,0.047220840636012,0.0469614056540332,0.0344542656077863,0.0482943776928858
2013-02-01,0.0147159581853144,0.0363974899185139,0.0286300597813976,0.0246333753213943,0.0253818736163328,0.0315784760847767,0.0422188239997799,0.0348062823457714,0.0325272532551678,0.0221507324619448,0.0259747435529178,0.0306195089623505,0.0302963948469117,0.0239393469518796,0.0330812161021643,0.0238795041426555,0.0380248250140069,0.0288718395524112,0.0234709797019775,0.0199193182381232,0.038173968857429,0.0394688338533016,0.0243321232848671,0.0228838531929032,0.0361243063235418,0.024222627618454,0.0406253007733527,0.0418086321124052,0.039949614317501,0.0428455986858633,0.0357098531834979,0.0273750282343894,0.0320787100937702,0.0139539350449475,0.0405487834971622
2013-02-08,0.0313561211396333,0.0402595414715199,0.036311607574621,0.038359033134336,0.0296616299335729,0.0408365916661398,0.0409060334855925,0.0440266675900941,0.0338828060649861,0.0249116986715929,0.0287978549612847,0.0403000797365915,0.0341036901502665,0.0361128857721446,0.0379649138718038,0.0427643408987129,0.0355915180691791,0.0371576527206659,0.0318765654141486,0.022351955007724,0.0459091688286089,0.0412983058912243,0.0318830294132998,0.0305012110804667,0.0469709268606134,0.0390205772760372,0.0414761582107269,0.044293723097883,0.0402904760807097,0.0460231198993598,0.0407252261950494,0.0280031524370691,0.0364793021811717,0.0333389067078365,0.0493077548966114
2013-02-15,0.0388996098598531,0.0626890177504902,0.0596908509552396,0.0448308819143719,0.0484227500937671,0.0528194429008295,0.0614252461742818,0.0596180052438916,0.0537879386814745,0.032563886553015,0.052669302885074,0.0524463171579704,0.0603551741854466,0.0459309819063582,0.0498707671346091,0.0390299165648853,0.0550685774084557,0.0495011631945888,0.0508865292165105,0.0392929396295236,0.0655294439876871,0.0432662746637643,0.0544048102523811,0.0448199457897675,0.05751270857852,0.0509884761407889,0.0587466370783772,0.0518029393867515,0.0556072278847341,0.0509984854751726,0.0615449874707979,0.0412534716624199,0.0520133207668534,0.0432049211511531,0.0457282002060663
2013-02-22,0.0451328893000749,0.0494917926014465,0.0671613897464045,0.0520402705860886,0.0351553756608282,0.0477818850175765,0.0618813544668588,0.0498914556113326,0.0402686223211238,0.0232067574513538,0.035349191070767,0.0478611142395954,0.0422275093010401,0.0430771871726915,0.0358615894038239,0.0479259044912464,0.0545661648254533,0.0546257718569722,0.0371644288070228,0.0366203758081593,0.0500349197399883,0.0432523059671539,0.0409379981781808,0.0438585576076024,0.0523679241444378,0.0633941142854069,0.0504743827611867,0.0492059747488651,0.0409929773345818,0.0493792423932803,0.0496707985257097,0.0398434131552886,0.051524355067942,0.0368671341094472,0.0475615981619631
