,Numerai-MLP_None_1_3000_10-baseline,Numerai-MLP_None_1_3000_10-high_mean_standard,Numerai-MLP_None_1_3000_10-high_volatility_standard,Numerai-MLP_None_1_3000_10-low_mean_standard,Numerai-MLP_None_1_3000_10-low_volatility_standard,Numerai-MLP_None_1_3000_10-optimizer
2012-12-21,0.04723322199039568,0.03329256974620348,0.01776762978155551,0.0176870518235546,0.04138628355115859,0.016992447020504255
2012-12-28,0.0748438437691554,0.045187460123660206,0.04653339463796413,0.047843541079223145,0.06840123275261023,0.03740667859196874
2013-01-04,0.0643848028502627,0.05507482423365151,0.03558046611510598,0.042963701090338674,0.05663194097735289,0.03177615999968137
2013-01-11,0.06523152520299111,0.058630072079465,0.04248334200183283,0.045335286409844876,0.04760942230599574,0.04000660791156958
2013-01-18,0.05631364696016126,0.0563978558563817,0.03566786825686345,0.05598559334070074,0.049699306041611345,0.045781380012550395
2013-01-25,0.05452241904782399,0.059179154173541235,0.04993350938730545,0.05091811883960853,0.03423948283403478,0.04894852312311858
2013-02-01,0.04563366253664646,0.0437906704191508,0.025727405626248794,0.04864256976267789,0.024800119991058883,0.04502013445014382
2013-02-08,0.052989649178811715,0.05087499766223852,0.04190924615385629,0.06021917014950005,0.047850030745174424,0.05825042069373943
2013-02-15,0.07461300820115488,0.07434877972799182,0.07339362972652501,0.07647001718515967,0.06922084943678698,0.07374154677538068
2013-02-22,0.05121354740983468,0.0539686135902266,0.05790749066059696,0.05908074956049391,0.05020985341944597,0.05637288727149221
2013-03-01,0.045570562836716164,0.052974031608724846,0.03955728297312135,0.052662216826898985,0.03565922743361304,0.048127369506432316
2013-03-08,0.04662305754850458,0.05682710511956342,0.04424318823716713,0.03351121003279988,0.02317616775674248,0.038544887096808415
2013-03-15,0.039089205270268636,0.036014618784191724,0.03237465519086411,0.023520989744633743,0.03577128721797776,0.022063366323685704
2013-03-22,0.04831099284465638,0.035814650279816874,0.028514977342244376,0.022011169232906035,0.031141166348328427,0.03169019030075517
2013-03-29,0.04708305729456798,0.03033976198617162,0.027160005802346184,0.026044841051650065,0.03213855053498973,0.020867447223861087
2013-04-05,0.06888824463387022,0.03955638627935014,0.039348231163371265,0.04348131111045191,0.048984502966029894,0.04116631326027771
2013-04-12,0.05776070682086992,0.024478486631991318,0.029727561096008718,0.0322968831502644,0.03404378966219932,0.026359253624202394
2013-04-19,0.0491777364087152,0.0270648553627056,0.025882581826394697,0.028310228264013172,0.0374292353740276,0.022729557814696492
2013-04-26,0.02965869626788797,0.003975558499514406,0.01612817175116448,0.011106787049869685,0.01582874055823867,0.007777934437871245
2013-05-03,0.038115731912534645,0.02467775301052723,0.04414419477190095,0.03416096122054123,0.016290678078483164,0.024225948896774346
2013-05-10,0.02813902655974717,0.025605140686302267,0.04532369590669916,0.02107492774577126,0.02123943915719316,0.02005488570073608
2013-05-17,0.05681567713821705,0.03933971271574154,0.04906245675200127,0.03280374385900075,0.0421941956245503,0.02303626817091465
2013-05-24,0.06424013727555798,0.05127601412602427,0.04379854917350397,0.03842968966189464,0.05717680890413601,0.03523105581513766
2013-05-31,0.043007189707946744,0.014229190637171124,0.021110171852321467,0.036201158531759724,0.016995745290180317,0.021813700394542192
2013-06-07,0.02780680655338518,0.0036980079372766392,0.01715623642263752,0.03090551182898776,0.007747425468058334,0.017179357797197627
2013-06-14,0.030234311435094238,0.009830765954179352,0.01191291816614632,0.025561733421422678,0.019813862832522573,0.01749797063773706
2013-06-21,0.04510367884776583,0.03105412217837059,0.024080550455500692,0.0420783328636907,0.0428152036570722,0.028280463097641307
2013-06-28,0.06164765791095765,0.051884202835705974,0.043510842225268125,0.06136623510760971,0.05625010716550791,0.06293386918217679
2013-07-05,0.05286066451140343,0.05876307346399656,0.05001035956856789,0.0632890965534538,0.05591565543593406,0.06128369271616695
2013-07-12,0.0423782819587971,0.05206793764105337,0.05484302021827154,0.04936673998823655,0.054206026620039746,0.06705443905695159
2013-07-19,0.02757540043656602,0.03634234241967119,0.05068799234706811,0.042953266092524256,0.021156518785318715,0.0536756669086752
2013-07-26,0.018674889418557803,0.015820549557303176,0.03356373778686299,0.03459905884917707,0.027489444077119795,0.038787451085648995
2013-08-02,0.00648391152562549,0.00959282952540751,0.02455939389531569,0.019762979132611925,0.012089844744719755,0.029641469175265535
2013-08-09,0.028406357415221777,0.018163012219219073,0.021848325421994188,0.029137079658180097,0.037672564108981295,0.03810963007168334
2013-08-16,0.058293310472054466,0.03206426265028137,0.02874168850855461,0.04074437648752546,0.06162770605290407,0.04247321723275247
2013-08-23,0.08145923499841044,0.04235589023889389,0.03682069569860662,0.04628323318729831,0.06817827296276907,0.037511767839989885
2013-08-30,0.06806519359252418,0.03534103274010857,0.031328271922969116,0.04004689691837572,0.061551740707639496,0.02428250527488989
2013-09-06,0.050458883494853904,0.03203021750747843,0.034089800442791016,0.037616148673281724,0.038283023580770764,0.02008884264785013
2013-09-13,0.04703361440041117,0.04535120371257101,0.03472608553665388,0.0320457626040806,0.043748490233779164,0.022710301346342037
2013-09-20,0.048656309021717255,0.045428929009394214,0.036045583248796115,0.04163837336561073,0.037033576695775186,0.013688544634678819
2013-09-27,0.011961050412134562,0.008017141184182489,0.016480762648659705,0.00603196440072327,0.0006784180882400485,-0.013507741655906126
2013-10-04,0.04221329315111045,0.050267149442941764,0.03800116882461738,0.03613410152716114,0.05044671209443253,0.03795068866286559
2013-10-11,0.04905973700497461,0.026043223774577275,0.03166327458798199,0.03436495725512882,0.043452673032714974,0.03724357939234624
