,lightgbm-gbdt_None_1_2000_10-baseline,lightgbm-gbdt_None_1_2000_10-high_autocorrelation_small,lightgbm-gbdt_None_1_2000_10-high_autocorrelation_standard,lightgbm-gbdt_None_1_2000_10-high_calmar_small,lightgbm-gbdt_None_1_2000_10-high_calmar_standard,lightgbm-gbdt_None_1_2000_10-high_drawdown_small,lightgbm-gbdt_None_1_2000_10-high_drawdown_standard,lightgbm-gbdt_None_1_2000_10-high_kurt_small,lightgbm-gbdt_None_1_2000_10-high_kurt_standard,lightgbm-gbdt_None_1_2000_10-high_mean_small,lightgbm-gbdt_None_1_2000_10-high_mean_standard,lightgbm-gbdt_None_1_2000_10-high_sharpe_small,lightgbm-gbdt_None_1_2000_10-high_sharpe_standard,lightgbm-gbdt_None_1_2000_10-high_skew_small,lightgbm-gbdt_None_1_2000_10-high_skew_standard,lightgbm-gbdt_None_1_2000_10-high_volatility_small,lightgbm-gbdt_None_1_2000_10-high_volatility_standard,lightgbm-gbdt_None_1_2000_10-low_autocorrelation_small,lightgbm-gbdt_None_1_2000_10-low_autocorrelation_standard,lightgbm-gbdt_None_1_2000_10-low_calmar_small,lightgbm-gbdt_None_1_2000_10-low_calmar_standard,lightgbm-gbdt_None_1_2000_10-low_drawdown_small,lightgbm-gbdt_None_1_2000_10-low_drawdown_standard,lightgbm-gbdt_None_1_2000_10-low_kurt_small,lightgbm-gbdt_None_1_2000_10-low_kurt_standard,lightgbm-gbdt_None_1_2000_10-low_mean_small,lightgbm-gbdt_None_1_2000_10-low_mean_standard,lightgbm-gbdt_None_1_2000_10-low_sharpe_small,lightgbm-gbdt_None_1_2000_10-low_sharpe_standard,lightgbm-gbdt_None_1_2000_10-low_skew_small,lightgbm-gbdt_None_1_2000_10-low_skew_standard,lightgbm-gbdt_None_1_2000_10-low_volatility_small,lightgbm-gbdt_None_1_2000_10-low_volatility_standard,lightgbm-gbdt_None_1_2000_10-optimizer
2003-12-26,0.20492620660678365,0.19357363419372986,0.20297966385643676,0.20406201792965148,0.20924080925167557,0.19179300864277682,0.18735176240877366,0.2149827442058887,0.20759031913818465,0.20426005011709403,0.21056013629540962,0.20571716762402337,0.20872459425550205,0.20939856934721796,0.20961723682141895,0.20024149443443867,0.20297933102923096,0.20602836106143294,0.20381139904369497,0.19501777143963356,0.18736773811465138,0.20362900973492443,0.2117220360708072,0.19864492232828496,0.1971714962882722,0.189831990746288,0.18294646151299548,0.19674647594648395,0.18650105607078574,0.21708221821998425,0.19641398156790418,0.2060463337305453,0.20795543058293156,0.21517445267642135
2004-01-02,0.19176446046302945,0.18425413865308055,0.19747424823031168,0.1958936513595541,0.19738879265766804,0.18792011647486273,0.19352706195436498,0.1956270167239799,0.1899846303674512,0.19768093147577537,0.1946340097209348,0.19795617791324382,0.19594764073296855,0.19636829413319115,0.20588665378846355,0.18751834279417776,0.20554615639048807,0.19544517521474986,0.19323426068995805,0.18288983049913035,0.19423852928009577,0.19171129664726247,0.19849143452329082,0.20172516613460806,0.20059403907810408,0.1862745998667481,0.1952262367127442,0.18801252773365185,0.2000190356900833,0.20285496829851293,0.19217865251160426,0.1913181347684718,0.19083488019294048,0.20512484054396596
2004-01-09,0.20929233028368943,0.203848759976294,0.22303962548291428,0.22088937826312152,0.21793332564972037,0.20998703298694024,0.20688483101614277,0.21417609680787741,0.2120761090956055,0.21299731296371913,0.2161405161117046,0.21607372387144663,0.2166067391748921,0.21289514067540363,0.22010704935,0.20403657182018797,0.2251501941441378,0.2287754917787385,0.2235514788884562,0.205268260409105,0.20897655236204604,0.21355049820110397,0.2212150730980432,0.21957568731982807,0.21623177679641364,0.20868061644605124,0.21253406579242448,0.2044121955079758,0.208981842836522,0.22002041783045725,0.2181508964125412,0.20897688301670092,0.2145398169280946,0.22909358155660103
2004-01-16,0.22322678942150279,0.219583519694349,0.204824776041012,0.2290390404914941,0.22259053939352885,0.22516608680846764,0.2050828622341261,0.21684388659163878,0.2067350124587721,0.22176977879740895,0.2185422066757994,0.2217126477482254,0.22019568552949634,0.21879331756639703,0.20771321559740968,0.22328773748792627,0.21478351509114044,0.22102840378707328,0.2043305260341215,0.21908063359862845,0.2081612957447856,0.2169518377020147,0.21589823486474552,0.22276392548465582,0.19614550676678572,0.22589085395566866,0.20751392123979262,0.22906195934262005,0.21088299235531024,0.22612236756776732,0.20396714598873295,0.21599588909997788,0.20847784161613417,0.21373954481448923
2004-01-23,0.2221984043703129,0.20284044349163802,0.20363557703337662,0.2258656597558468,0.22578022416161853,0.21516096814264776,0.21131151210724652,0.21555578414627868,0.21140244923595167,0.22650739757158458,0.21259951841417357,0.22663911077935325,0.21820202222963106,0.22458444946209705,0.20876559612317735,0.2253507808527511,0.21346779000248642,0.22010393506023654,0.21147170384642458,0.21384998483878817,0.20835298103741565,0.22620092973925798,0.22049066057198982,0.20917691673023883,0.2039627565249101,0.21588037468041132,0.21167072994661562,0.2142554802916977,0.2133499924407473,0.20921154403547532,0.20097574692366985,0.21661984563803144,0.21605480568529412,0.20303105548027614
2004-01-30,0.22106499612909128,0.21008978489931873,0.20259857958183589,0.20669757474289496,0.20401071812780575,0.21310015222032686,0.19492987281508767,0.2218718014601313,0.2055538355657739,0.21028124311576418,0.19967517365633455,0.20973585559826344,0.20445304028766864,0.22020378884919214,0.1862942125888335,0.21909118399885755,0.1862448271049653,0.205532721482091,0.17701761466976831,0.21660222718506628,0.19690922869389138,0.20765092930104587,0.189587651777521,0.19930836118557455,0.1956005133713846,0.21084523965617183,0.1963169607532983,0.21148080936160588,0.20142084315132733,0.2070343264843438,0.19727174677474982,0.22071195832087928,0.20384502625076975,0.18509035195309018
2004-02-06,0.22117016797651487,0.21331014248833163,0.18153460966353963,0.20969579414613518,0.19927940896455407,0.2120886856446911,0.19707352852449972,0.21153353743256542,0.18898987743804033,0.20874537256035824,0.18968659171368224,0.2103179655523043,0.20076143890893908,0.21822343302533115,0.1728434995793596,0.21231819921648865,0.1876870119343178,0.20077026635400824,0.18012058374042791,0.21718735252814236,0.20179457692443797,0.21201610442967822,0.19626434605982893,0.201661184421171,0.20385758353133615,0.21107385640415038,0.19527240278798594,0.21318132717880425,0.20127146906848917,0.20816701143712463,0.20139276470258732,0.22533606515418553,0.20577411993856876,0.18475106909280495
2004-02-13,0.2210633284075244,0.21716294752948279,0.20406035909555587,0.21354292569101838,0.2026977520558405,0.20000102679073523,0.1926738979881985,0.2121233410226526,0.18682689258446883,0.21204014073536173,0.19806475862619788,0.21038131477396918,0.20264563047508657,0.21663655193751855,0.19723469817244876,0.205230019165523,0.19596662219844907,0.2093657532905796,0.19038151964459574,0.20325004656991852,0.2040632727242937,0.22002380721348463,0.19911754981012636,0.20792059343662622,0.20037008643085774,0.201660823961707,0.2055430723865743,0.20395384977836262,0.20259706999612304,0.21133115774249492,0.1912905718107923,0.22202967873120288,0.20630968048114437,0.19326568835850022
2004-02-20,0.241543389986253,0.2543127747715527,0.23616526429506754,0.24229044653843612,0.22475574334632753,0.23220192997158334,0.22160466773468224,0.23420222544700148,0.21142975433371158,0.23878992945645422,0.2166312291610071,0.23690140386309233,0.2277462300469727,0.23360772529847884,0.2210095252305157,0.23016855318049925,0.21812374249984262,0.24441118369710416,0.21767891121637223,0.23053084176371555,0.23459117178944386,0.23897075257024042,0.21968306082565425,0.24082202153625035,0.24025867563646197,0.23389807004956714,0.23251829012625366,0.23550941918254278,0.2317365433075049,0.23754600775184712,0.2290736579853002,0.23697174180611044,0.22719830068264016,0.23569088465197313
2004-02-27,0.2539047252436272,0.25792336370455243,0.23110920569152263,0.2574638479527375,0.2297246493839383,0.24865245667485608,0.24232845950891505,0.2519761694550999,0.24887231728841674,0.2515046355990066,0.22690322266779384,0.256208663002972,0.22832701455111004,0.24053564112952575,0.24089512383690734,0.24484271761865384,0.23006363061931578,0.24398907874124354,0.2407053084840421,0.24789708347360304,0.24372750823636433,0.2567774021142568,0.2388587621090561,0.2527131620262801,0.23722323950624968,0.24987300120640785,0.2441400119920321,0.2473110241532113,0.24532096747419685,0.25072876092574964,0.24096581856795576,0.2534204628104202,0.2445606456417705,0.23914189450690523
