,lightgbm-dart_None_1_2000_10-baseline,lightgbm-dart_None_1_2000_10-high_autocorrelation_small,lightgbm-dart_None_1_2000_10-high_autocorrelation_standard,lightgbm-dart_None_1_2000_10-high_calmar_small,lightgbm-dart_None_1_2000_10-high_calmar_standard,lightgbm-dart_None_1_2000_10-high_drawdown_small,lightgbm-dart_None_1_2000_10-high_drawdown_standard,lightgbm-dart_None_1_2000_10-high_kurt_small,lightgbm-dart_None_1_2000_10-high_kurt_standard,lightgbm-dart_None_1_2000_10-high_mean_small,lightgbm-dart_None_1_2000_10-high_mean_standard,lightgbm-dart_None_1_2000_10-high_sharpe_small,lightgbm-dart_None_1_2000_10-high_sharpe_standard,lightgbm-dart_None_1_2000_10-high_skew_small,lightgbm-dart_None_1_2000_10-high_skew_standard,lightgbm-dart_None_1_2000_10-high_volatility_small,lightgbm-dart_None_1_2000_10-high_volatility_standard,lightgbm-dart_None_1_2000_10-low_autocorrelation_small,lightgbm-dart_None_1_2000_10-low_autocorrelation_standard,lightgbm-dart_None_1_2000_10-low_calmar_small,lightgbm-dart_None_1_2000_10-low_calmar_standard,lightgbm-dart_None_1_2000_10-low_drawdown_small,lightgbm-dart_None_1_2000_10-low_drawdown_standard,lightgbm-dart_None_1_2000_10-low_kurt_small,lightgbm-dart_None_1_2000_10-low_kurt_standard,lightgbm-dart_None_1_2000_10-low_mean_small,lightgbm-dart_None_1_2000_10-low_mean_standard,lightgbm-dart_None_1_2000_10-low_sharpe_small,lightgbm-dart_None_1_2000_10-low_sharpe_standard,lightgbm-dart_None_1_2000_10-low_skew_small,lightgbm-dart_None_1_2000_10-low_skew_standard,lightgbm-dart_None_1_2000_10-low_volatility_small,lightgbm-dart_None_1_2000_10-low_volatility_standard,lightgbm-dart_None_1_2000_10-optimizer
2003-12-26,0.32964188807549977,0.31427641581673066,0.30353941015808733,0.3261942924015017,0.31128929164480507,0.3103497204428724,0.2899101360811668,0.327314588776176,0.302875419882545,0.32454979317771504,0.3073023545466993,0.3284388790773197,0.3099113870128528,0.32371506254560467,0.30503214017603564,0.31920092715353454,0.2974020764834008,0.32490858090555175,0.29990027749002734,0.31479362929452154,0.29538481078913414,0.33165864946608964,0.3092949910277378,0.31837485002877475,0.2925524512678987,0.31049749572224095,0.29452545094379573,0.3166741030072102,0.2963267117815074,0.33064485779726677,0.2954613610464649,0.3276437548826979,0.31020161233629767,0.3065331908741287
2004-01-02,0.3243063867060515,0.31899538476106587,0.30866287860363045,0.3247387941782782,0.2992405736617948,0.31355968165000103,0.301426646450353,0.3149034539686644,0.2911885388906052,0.32263983307811234,0.2989454538353394,0.32357156379844787,0.3001583930098394,0.3185707566830462,0.3124129871054572,0.31331225795711415,0.3154662021001435,0.32062599632744065,0.30293404300500876,0.30997187249156716,0.30649833531980814,0.3252624579780829,0.30249815333989627,0.32969587983790877,0.3137948500863457,0.3140031894475584,0.30758011012699454,0.3150687343204057,0.31130835790093575,0.3224179135677588,0.30329805724661874,0.31994301419259086,0.3067739129804263,0.3136772658681735
2004-01-09,0.34287648262970927,0.33687046627003286,0.3389628489252456,0.34652425956990496,0.3255941505793374,0.339542155880355,0.3282701387001713,0.3389506147030202,0.32462301785835757,0.34457769561743395,0.32718228488606727,0.34292971281819556,0.3265861145435659,0.33912420839676016,0.32588578798482054,0.33521223317649756,0.3418911265476483,0.3533327695657151,0.33613872751908686,0.3332349183411351,0.32709135485601304,0.3431909299954422,0.3292888856914339,0.34701726566012664,0.33133431538567326,0.3380859527808674,0.3289066489105514,0.3344629697288502,0.3270890402734297,0.3445783569267434,0.32441834262707175,0.34293335001939756,0.3217684762239626,0.3426450191604618
2004-01-16,0.35392536052987955,0.3473132664347479,0.32827899449599796,0.35860694552364836,0.33844034947637025,0.35225377356007676,0.3199259036537383,0.34221033440796117,0.3251142000970378,0.3521325361591931,0.33706787566691365,0.3546041183509082,0.33813642558100404,0.34878804468111485,0.3244694828501465,0.3497124383431956,0.3335230933594303,0.3521415044052859,0.328441419397456,0.3460447578485148,0.3256642525240611,0.35136691366868056,0.3333573468853453,0.35094440963053214,0.31655716469548334,0.3532422735738578,0.32426885986347853,0.3532117151056899,0.3258954339788969,0.3532831289171692,0.32798569963303786,0.3518571777884187,0.3330882995025621,0.33091399806095917
2004-01-23,0.3418307304414779,0.3302025847284891,0.3131141714041236,0.3379607191998363,0.32656768853768386,0.33134366770291757,0.31423874977512134,0.3305258807839212,0.31556041252825956,0.3401331780788315,0.31853803715892165,0.3401280001640298,0.3233295500685605,0.3361675425800668,0.31342970058735314,0.3346449120086868,0.31532999531958333,0.34209398969030663,0.3220752002078445,0.32940971652447615,0.3139034797917101,0.34096099720775586,0.32258295947808807,0.3304342964158657,0.31313326496495497,0.3310572642904473,0.31584843403910523,0.3318750512094435,0.31705877162400636,0.33011035312108367,0.31509634191415575,0.3372461669571993,0.3207014346870141,0.3159578174892913
2004-01-30,0.34432615658622373,0.32926948277711937,0.30349741751443143,0.331349398952785,0.3044114068318178,0.3342481121363522,0.2959646997612332,0.3355063683775153,0.3025004033256144,0.33274507567079886,0.3020086956818833,0.3362131533821506,0.3050197787345418,0.34491322945692865,0.3013752731714001,0.3324416054510871,0.2966772106190706,0.33502360737941256,0.29595968963968156,0.33507084566833,0.298191698791028,0.3316693310004529,0.29746093677610896,0.3253712503439591,0.30280637860610204,0.3325339348339709,0.2963214919888896,0.33303816778158163,0.3028922664041335,0.3291599758346289,0.30746722311261787,0.3439623799595535,0.31399827442127215,0.29813837678308347
2004-02-06,0.3424594278193374,0.33007533561154134,0.297758059213432,0.3271492010423275,0.30308918215037056,0.32595651513076396,0.30113570125081174,0.3287904519403669,0.298371730116942,0.3266349206314476,0.2933708190140712,0.32868909979327654,0.3016604438188104,0.3363774775060847,0.28997388737450336,0.32393862657644146,0.29288400176562873,0.33009658686818916,0.29840998237890837,0.33613292458342864,0.3044152605652009,0.33039214280680024,0.30553078806801176,0.32400793836735464,0.3041376864591382,0.3267182909459895,0.2989644767062141,0.3293050592936566,0.3062392722704126,0.33471791783308713,0.30281062721707785,0.3416360192280105,0.31698031126509196,0.3083964382913816
2004-02-13,0.34122494143990423,0.33454689838180296,0.3116269997840919,0.3303668123526264,0.30378739606022753,0.318117593402351,0.3009611761845528,0.33128719529724765,0.3039864940239778,0.329473947012751,0.29996503889274856,0.3271381879746076,0.30282395615759206,0.33118424708184485,0.30165235366846643,0.31903797634697234,0.30025607803000287,0.33255688995387933,0.3018184305065214,0.3221791918628569,0.3083799224240672,0.3385664110938736,0.3065553433611459,0.33342029526985,0.30592956065556987,0.32059385409296215,0.3078130597663003,0.32177775857009205,0.30903484141702153,0.33321439883904497,0.30154649182432625,0.3385541091058695,0.3180939606359224,0.30737860534784023
2004-02-20,0.35243565575613395,0.35892874202043445,0.3327466471487887,0.3485566254367554,0.32386447448136946,0.3403592038858406,0.3199974935044853,0.3481541896257889,0.31863313011662797,0.34128901368053166,0.31886116637024814,0.3447811801391414,0.3246214906078243,0.3401658548369967,0.3220472503644916,0.3396291666964341,0.31926649278161257,0.3473974946771563,0.31465694868026395,0.34010611576210453,0.32708653039167696,0.34834400571859114,0.3227371403261482,0.34492474662557565,0.33210172208221206,0.34246837864291696,0.3227910982002443,0.3466664939542833,0.3233245745625869,0.3460385913122727,0.3331876242983952,0.34652260629002724,0.32893619346857667,0.331094187254597
2004-02-27,0.3691053259452766,0.37071716056604337,0.33373285854438045,0.36618456788487064,0.33095031393031266,0.3643260034056064,0.34992513321737756,0.3665320324879739,0.35309508495759095,0.35906631541560013,0.3323408792900361,0.3628209125815844,0.3296389266693635,0.35873581754794864,0.34718111723173123,0.361477005744353,0.33319098343089404,0.3578051214136953,0.3426743281273912,0.3618198751899382,0.34536214180185404,0.36589684032950337,0.3381519861822204,0.3625480309197375,0.3436856162550395,0.36625314177398766,0.3473988570033603,0.36275622690267517,0.34696231703913616,0.3635405849436579,0.3440709025392537,0.3677274803900035,0.3471273892361344,0.34308930619864575
