,Numerai-MLP_None_1_2030_10-all,Numerai-MLP_None_1_2030_10-baseline,Numerai-MLP_None_1_2030_10-high_autocorrelation_small,Numerai-MLP_None_1_2030_10-high_autocorrelation_standard,Numerai-MLP_None_1_2030_10-high_calmar_small,Numerai-MLP_None_1_2030_10-high_calmar_standard,Numerai-MLP_None_1_2030_10-high_drawdown_small,Numerai-MLP_None_1_2030_10-high_drawdown_standard,Numerai-MLP_None_1_2030_10-high_kurt_small,Numerai-MLP_None_1_2030_10-high_kurt_standard,Numerai-MLP_None_1_2030_10-high_mean_small,Numerai-MLP_None_1_2030_10-high_mean_standard,Numerai-MLP_None_1_2030_10-high_sharpe_small,Numerai-MLP_None_1_2030_10-high_sharpe_standard,Numerai-MLP_None_1_2030_10-high_skew_small,Numerai-MLP_None_1_2030_10-high_skew_standard,Numerai-MLP_None_1_2030_10-high_volatility_small,Numerai-MLP_None_1_2030_10-high_volatility_standard,Numerai-MLP_None_1_2030_10-low_autocorrelation_small,Numerai-MLP_None_1_2030_10-low_autocorrelation_standard,Numerai-MLP_None_1_2030_10-low_calmar_small,Numerai-MLP_None_1_2030_10-low_calmar_standard,Numerai-MLP_None_1_2030_10-low_drawdown_small,Numerai-MLP_None_1_2030_10-low_drawdown_standard,Numerai-MLP_None_1_2030_10-low_kurt_small,Numerai-MLP_None_1_2030_10-low_kurt_standard,Numerai-MLP_None_1_2030_10-low_mean_small,Numerai-MLP_None_1_2030_10-low_mean_standard,Numerai-MLP_None_1_2030_10-low_sharpe_small,Numerai-MLP_None_1_2030_10-low_sharpe_standard,Numerai-MLP_None_1_2030_10-low_skew_small,Numerai-MLP_None_1_2030_10-low_skew_standard,Numerai-MLP_None_1_2030_10-low_volatility_small,Numerai-MLP_None_1_2030_10-low_volatility_standard,Numerai-MLP_None_1_2030_10-optimizer
2020-11-20,0.03422055427888464,0.07397395810246352,0.05628954464723895,0.032577145381698314,0.054478300120184495,0.04708149170463189,0.05587781139601391,0.036247063052121664,0.06497030297317377,0.03386065477861629,0.05511073061698415,0.05124243504984,0.0636339319605493,0.052157234677205185,0.06511567241636655,0.04935395382872551,0.04370965481166459,0.02921984543305032,0.0740064088269133,0.04572911536947407,0.06564017711443218,0.023335172902346244,0.07186903749851406,0.04075101954813641,0.0753433671908234,0.04849891719467299,0.05009078601654548,0.023651608407478198,0.04898891500470787,0.025946243042604247,0.05770447389431613,0.03309430818869353,0.06643016459360145,0.05017815452028257,0.0642568179989575
2020-11-27,-0.010691861496640042,0.009841449942265337,0.01529610873210728,0.004324495137934509,0.00969961803936321,0.016178682413189267,0.013276707133190393,0.005337310732885952,0.021385171735369853,-0.001458883284388628,0.009178215761258478,0.011067085697887977,0.012335894020100045,0.012291707386362361,0.013979347046724131,0.002555291297919228,0.0038013543693220667,0.0019453708781301407,0.014673004759301377,-0.006981777878972868,0.012290838141108497,-0.000671491958603901,0.02080567489946573,0.007365549658550385,0.016126527697957888,0.00963007841905472,0.003715299089190311,-0.0018733683962690554,0.0022878535081494837,-0.001072938391676484,0.018184031213835477,0.010260860724936347,0.010032104348963204,0.006394457835784045,0.014461343539987395
2020-12-04,0.005227917875462981,0.03145928704412197,0.02580481289307093,0.02177082094209504,0.026973440122312432,0.02063036725983154,0.019271568588488348,0.009760409116845952,0.02561363525286291,0.005047089701491784,0.024099882073140587,0.020871279835010973,0.02973516643909193,0.022782337524158078,0.02754122333947162,0.019633512421604,0.008522641703438975,0.02150676581046937,0.01627971039052612,0.0028235356290272034,0.024843318731152524,0.010819791980254312,0.03343754424272955,0.02691479314697043,0.03379057603547459,0.020280354061405576,0.01630730896715767,0.0011407411674367368,0.015875218751770195,0.0021886246239152993,0.02074133653670417,0.005259684987106569,0.0341988049814827,0.023045817685437266,0.01018588717324876
2020-12-11,-0.004812955092639386,0.0031044130353346526,-0.0005434404001440251,-0.008014843353589577,0.007141034795640129,0.007146131540307377,-0.0027477824687235524,-0.025972090578669196,-0.011005924592053259,-0.021080914613011818,-0.007360477968812784,0.002413945693019599,0.00033164234397222076,-0.0004311704412240868,0.007063451015705539,-0.0023534926382165517,-0.024066899106808273,-0.005113804604247065,-0.0031491511112683845,-0.011746793059932302,-0.0039405622970975105,-0.01096656639712294,0.006423101678763653,0.01659861083065936,0.014595590176435651,0.0011108779730962986,-0.00987685407201975,-0.015578695592249147,-0.014273645804955257,-0.016245944414934786,-0.010908944867135019,-0.019206020456672784,0.007077467063540445,0.0021231480945056356,0.0028703874932187257
2020-12-18,0.008627299928209228,0.00559971650189398,0.01267137968036258,0.004579990529031589,0.01594582050468424,0.018463681408707217,0.009217201978167437,0.0007751854955473056,-0.0028022804713141803,0.008554141402137281,8.979822921882541e-05,0.015575815291249375,0.007235743319048127,0.011016255790132318,0.020187329983626753,0.013918023431738178,-0.007150508721494061,0.007385992115395487,0.01101316656254386,0.006914182810977596,0.013866910757092924,0.011266342805360971,0.016830743789339474,0.030550003509648024,0.0164167872924871,0.004999002125574136,0.002366418542470982,0.0029220582500845554,-0.0018736867421131394,0.00384980946267056,0.0005757898966564179,0.005048991444732707,0.01548061091375076,0.013425993728559526,0.021394094615224173
2020-12-25,-0.008453012485569678,0.0287193616132408,0.02194665130514774,-0.014076847144860318,0.010817139207424893,0.013386848267234516,0.02089376101049115,-0.005433688537837929,0.01821936633695185,0.002503192999611405,0.005717995579950986,0.01905628992982562,0.016271315814437796,0.01772302181180185,0.01443103814895379,0.0002920251503638996,-0.011324850401089768,-0.007506351426292939,0.03181614714860944,0.011032684921484936,0.014315126195950153,-0.007819285633554602,0.024703419243109734,0.017240569881503395,0.020762693499467653,-0.015209584777602961,0.0025493613198755644,-0.031841266082734895,-0.007672360918306631,-0.030782201301477633,0.012767154339311873,0.0007894923094412903,0.033919401811585974,0.020108618907518513,0.012335782252709945
2021-01-01,0.010460945751023416,0.04947443434577598,0.04719856455699217,0.01214114042760334,0.03303045159013261,0.027394472342942993,0.057257499680921094,0.044488523526133694,0.051506720181611655,0.03865496479508858,0.03590702989294571,0.040557069337824644,0.042857129443938456,0.04054294652970759,0.03337093711255874,0.017082025821823686,0.02630589747966282,0.030031662056682795,0.04649270381070593,0.02509147581137913,0.038000002089937104,0.010271196735034831,0.0403779473853697,0.0240421931172167,0.03474714184016356,0.019259315378167406,0.036051054569783046,0.004811542844633423,0.03174863196628041,0.00356454083683218,0.047878976282711046,0.039244347331854945,0.05005304975403798,0.034331847383652046,0.0318493094102832
2021-01-08,0.02591177909350491,0.04353433392227631,0.03537054112805676,0.025204710737601704,0.0326064453992797,0.03978098266839344,0.05102600067352891,0.04759367731956277,0.05854022031878044,0.05132572860624395,0.040129296318023276,0.050309744187779365,0.04591865340575545,0.04949227905963134,0.02885573942472868,0.019086808400818243,0.02958647417569068,0.039429884736992,0.04289784689763487,0.03553857253297408,0.038685228577171875,0.005077694666905741,0.04153619389722349,0.02117641187042001,0.03227636879525401,0.020865546810618498,0.03408740487360508,0.0113491501433941,0.027217468030306717,0.006648447228365893,0.06272304682428709,0.04241936807518177,0.04565191921203409,0.027844070643010088,0.04529232922122917
2021-01-15,0.019130479329201748,0.02940050009543109,0.029283082506220765,0.013140531863191357,0.020720035288137716,0.027885953022543156,0.0332756901260284,0.035877246341778905,0.04766609618027326,0.030732151943019086,0.028941604942086804,0.028921989321493324,0.036584375650355716,0.028693094368511956,0.03204598410826112,0.012064849908534687,0.017738184681585892,0.030268836510128558,0.031506554541941054,0.012611462659860797,0.025070144500169752,-0.004990517782956443,0.024877027334045437,0.010850477227991866,0.015371601498437276,0.003982937947684093,0.022407116797348196,0.0016879103382496418,0.022021711294138716,0.0017521445887845467,0.037040093483720594,0.025868306864880966,0.02160702049821226,0.014721246979042951,0.030318566252478182
2021-01-22,0.022779893368544978,0.012000461247307902,0.03258229648082764,0.033044222153536786,0.022119117339402177,0.02733588576553599,0.02075076888943692,0.035760059664800746,0.03893274523442741,0.03539611822569655,0.037758032293729114,0.018147599523536662,0.044184919728166364,0.02245026013448456,0.04375414590563693,0.030126789629435696,0.03669022371994716,0.034367009307203954,0.010005301836911432,0.012993820961863191,0.028114407554388973,0.006356418381277402,0.03436947949796711,0.028745266828733622,0.02497095257545962,0.019515673507861583,0.0349352904155488,0.01561263486926339,0.019528985091418576,0.020345383138639848,0.02038847424417482,0.02087866987784005,0.009945605560135292,0.019151183137476692,0.03779247773159303
