,tabnet_None_1_2030_10-all,tabnet_None_1_2030_10-baseline,tabnet_None_1_2030_10-high_autocorrelation_small,tabnet_None_1_2030_10-high_autocorrelation_standard,tabnet_None_1_2030_10-high_calmar_small,tabnet_None_1_2030_10-high_calmar_standard,tabnet_None_1_2030_10-high_drawdown_small,tabnet_None_1_2030_10-high_drawdown_standard,tabnet_None_1_2030_10-high_kurt_small,tabnet_None_1_2030_10-high_kurt_standard,tabnet_None_1_2030_10-high_mean_small,tabnet_None_1_2030_10-high_mean_standard,tabnet_None_1_2030_10-high_sharpe_small,tabnet_None_1_2030_10-high_sharpe_standard,tabnet_None_1_2030_10-high_skew_small,tabnet_None_1_2030_10-high_skew_standard,tabnet_None_1_2030_10-high_volatility_small,tabnet_None_1_2030_10-high_volatility_standard,tabnet_None_1_2030_10-low_autocorrelation_small,tabnet_None_1_2030_10-low_autocorrelation_standard,tabnet_None_1_2030_10-low_calmar_small,tabnet_None_1_2030_10-low_calmar_standard,tabnet_None_1_2030_10-low_drawdown_small,tabnet_None_1_2030_10-low_drawdown_standard,tabnet_None_1_2030_10-low_kurt_small,tabnet_None_1_2030_10-low_kurt_standard,tabnet_None_1_2030_10-low_mean_small,tabnet_None_1_2030_10-low_mean_standard,tabnet_None_1_2030_10-low_sharpe_small,tabnet_None_1_2030_10-low_sharpe_standard,tabnet_None_1_2030_10-low_skew_small,tabnet_None_1_2030_10-low_skew_standard,tabnet_None_1_2030_10-low_volatility_small,tabnet_None_1_2030_10-low_volatility_standard,tabnet_None_1_2030_10-optimizer
2020-10-23,0.011012924818844454,0.004832544123093077,-0.0022779846719452276,0.004485375102513824,-0.00023127238824013728,0.0137743573039684,-0.008375125241168286,-0.0033838371401272264,-0.0037730353180855363,0.0019880201272813227,-0.005207980435213949,0.009619041894803395,-0.012183346097895691,0.009815128744401663,-0.0016607127910778458,-0.0015872174164939794,-0.01727654580134555,0.0051404361031065025,0.017936665188043197,-0.002636534981149932,0.017571122403928687,0.002428694822660725,0.023064827266042056,0.006308030636981438,0.025915971716498145,0.013217042176051026,-0.01353051333849681,-0.005978342883787399,-0.009418342987285902,-0.0045605070137787135,-0.00868606721056159,0.006950892000497446,0.01698167164663862,0.03936279852017021,0.0012911530532917375
2020-10-30,0.015867256301427088,0.0009305178732300773,-0.00426744638853288,0.01484426508682633,0.0060718412317338445,0.009174168385543713,0.0025471865255311337,0.01836666617748796,0.0008451058278938712,0.01368951248359212,0.007005739511945091,0.012167570788202815,0.003109989446649439,0.012117841005263641,0.00622463636541705,0.01715842776541284,0.00894655321589762,0.014400753548347604,0.02947022994824291,0.012406003312445932,0.01067853187971283,0.004032769890191506,0.012445666945968426,-0.0003647852355780118,0.0268707595421594,0.014848171353764124,-0.0019909942099999214,0.007360759080178549,-0.0016676755003772361,0.00687908631853807,-0.005099331005252588,0.010902841746565375,0.015597122918573198,0.03063039122877561,0.00944850851740757
2020-11-06,0.01702164571833431,0.013578536495769115,0.023068780561785924,0.024638840281649827,0.02156159560454405,0.01710728808085066,0.028080366557064536,0.028041013288373058,0.020670040517292043,0.011909490258621895,0.022668161270930402,0.021323515867900912,0.03046900442147286,0.018166056865339706,0.02432250634404544,0.02934479763463859,0.02792838151935947,0.018694838142355234,0.02979351536500593,0.017846255015168615,0.026760599657230814,0.024333965533396226,0.017370095541882326,0.0100653146671828,0.034202438467717935,0.028313621371875767,0.03321513883786403,0.029650878613350185,0.030287014401125613,0.024964522505303514,0.023010579942188556,0.01202016190314126,0.022974091470834745,0.018421325386009005,0.014215802894273306
2020-11-13,0.03007961082160805,0.030259416487109357,0.027661142195041302,0.02938397842129082,0.030382994967193207,0.01858009069403506,0.0391520577844999,0.03558206459165842,0.037671483812402255,0.024692576545574958,0.02948144706855218,0.03146894701887204,0.032404616361759835,0.03610427104273895,0.025585668260207015,0.0338111616352526,0.05018530095873592,0.02684252424133038,0.039718177050784974,0.03656016320869647,0.03844515047217071,0.03311063354945652,0.02931781249027323,0.026912992441405197,0.05431903975217574,0.03643050172055886,0.04363146164356975,0.03248250226710564,0.046403161395142965,0.03286822294119921,0.04001740728141833,0.024819716013920398,0.039692066728230925,0.023203694743573727,0.031197310651846947
2020-11-20,-0.011859650321573382,0.015407399220383795,0.010682745182996849,-0.002805189740157952,-0.00480747027286283,-0.018094090542868733,0.021020127810044614,0.011887843183283507,0.009749003476670187,-0.010222849126350362,0.002268644340737048,-0.005937093632946337,0.009763980934453706,-0.002416216351251008,-0.00349077552830691,0.012425856960918504,0.02482748568130487,-0.005325954620250696,0.012958584576982832,-0.002774941148948135,0.013322448698429206,-0.003927324371349711,0.0080450973970642,-0.011960821580522757,0.017967956854280202,0.003935694127169903,0.025396335401435308,-0.0038240973829006416,0.023619010411125838,-0.0045722360829689316,0.01297429622387336,-0.00942801599907465,0.014954404245545814,-0.0069235501171580754,-0.012062139677293542
2020-11-27,-0.011131264972464345,0.004810113555094044,0.01677237692157305,-0.001361093193329813,-0.0043252195089793985,0.002724794122421184,0.019052407222437815,0.020275580168822426,0.01569031145473107,0.006492103052633894,0.004327972118949947,0.0047996825433759055,0.012037742898027382,0.005774975718202542,0.013412309392791946,0.008386333334995494,0.019472107805841386,0.002919360185075992,0.003356880296183608,-0.003110739015133323,0.004436627775681973,0.00654860399413454,0.0021986109954202472,-0.006545561635746046,0.005607211384208286,-0.00032422847968836235,0.013696987213429854,0.010259701731264545,0.018890872479429523,0.006027201716029805,0.015985999715251147,-0.004118049390143675,0.013197895563507433,-0.002324216934602459,0.0029760060007856205
2020-12-04,0.005811800262323867,0.03245254869686781,0.035406386451698926,0.015900948674775636,0.012443508238742906,0.005458049756645723,0.033147615445511806,0.024101319499006804,0.023453184175925623,0.013638009133576472,0.024631873386230723,0.011416179972151367,0.03253282840252707,0.01494922900874759,0.0276730352914045,0.015687922161400993,0.01600717444628972,0.014384320643320878,0.01907435375964218,0.006187112155995405,0.03186111929523977,0.013716205100699154,0.026246102634002212,0.012846562451632597,0.03541860457156184,0.007223639948130779,0.022794843129194237,0.008422021892803177,0.0264655975637749,0.007968945259768828,0.02494307608626859,0.009594530171883501,0.036225431710274335,0.012810195577217076,0.011699065382624593
2020-12-11,0.009568784172133495,0.012207977889487133,0.026512345513396207,0.009866235853963004,0.0025205526023092855,0.014801017301773394,0.021500263438132706,0.017354486380058574,0.012927963636564219,0.011657316875774159,0.00865151170827179,0.015992522943980562,0.012760478943749216,0.016066567317896224,0.01571998868052419,0.00994523539630516,0.013939667453010538,0.015162461444424884,0.014963688402402687,0.011722158794040666,0.012114041828454795,0.006578410814873597,0.015751984910935168,0.010551323282983966,0.02648558760389323,0.00837416385262971,0.0165140898149277,0.01000512214614519,0.012831833369090521,0.00700922731549578,0.014951795998179139,0.01440502855637733,0.009983885710031705,0.010061044761244026,0.015617912210938717
2020-12-18,0.019848919143255588,0.007050459987342091,0.01036386709122592,0.015727889540262642,0.005511673485821088,0.02117307442321413,0.020762347573386047,0.01519457652294742,0.006482673884645405,0.008843265020529087,0.010811664672115395,0.02008861512023218,0.007194319585475721,0.018191127283744377,0.007841372345820259,0.009912839863312142,0.013805407044195585,0.01407796116915842,0.0043731527000412445,0.023873340174391515,0.0059093413281161656,0.012017446367661942,0.012320050251894258,0.018042001842883727,0.019830243358289038,0.013123811102634737,0.009708810423038566,0.01637185307301874,0.009128878153024916,0.015395516735632544,0.02021134170715515,0.029570016266930024,0.009289377568188496,0.017033790293562164,0.018642716189401526
2020-12-25,0.011377473866436446,0.04172591816385765,0.03749667482123356,0.008837935593425607,0.0025408012361791722,0.012722108652975099,0.03382229397686623,0.012248076477132112,0.014032362775487257,0.004976636200146807,0.00975302257349434,0.015491365893379396,0.018593343764015658,0.015276521825523958,0.010783319860362087,0.012774591789080875,0.003544997284234965,0.00364701664238708,0.03893827711325106,0.019509974365734564,0.039489771030084386,0.023288760165349757,0.04250039456487881,0.014943520536810098,0.029164205153618047,0.006078501399886048,0.02322687497010206,0.014270080509613384,0.024898476887994805,0.010025962947092511,0.023085563424491085,0.015723330128627585,0.047371362846609456,0.04619947335564887,0.015765990217868644
