,Numerai-MLP_None_1_3020_10-baseline,Numerai-MLP_None_1_3020_10-high_mean_standard,Numerai-MLP_None_1_3020_10-high_volatility_standard,Numerai-MLP_None_1_3020_10-low_mean_standard,Numerai-MLP_None_1_3020_10-low_volatility_standard,Numerai-MLP_None_1_3020_10-optimizer
2018-12-21,0.057523096441818,0.052545502331949274,0.040961759317514064,0.04839865438618386,0.062176432209421574,0.03276084099207542
2018-12-28,0.06541260064617807,0.06587627049779278,0.06121145767484405,0.06270240863703301,0.06403199521904342,0.052864927819639876
2019-01-04,0.0735050737738262,0.05251058199672666,0.051777413743775785,0.06172954554238623,0.06104764021544441,0.04356682757347807
2019-01-11,0.0764327801643059,0.05906220331995779,0.05784736485918481,0.06952502837831899,0.060831672015383496,0.04435351399920123
2019-01-18,0.058739061540474376,0.05023565580285067,0.05337414777315635,0.06864991085556238,0.05001956241025093,0.04513652655007883
2019-01-25,0.049402921886430064,0.04542641149307053,0.04942578175712458,0.062118163522761845,0.04123492367360695,0.030592719474431276
2019-02-01,0.0344039404105862,0.030497064601718086,0.029495396251893846,0.03930525691769632,0.03251854635283713,0.03172646872466019
2019-02-08,0.027953638710846787,0.0336032975160393,0.03013623564805172,0.03888201890458444,0.034348405612529664,0.03201963491508959
2019-02-15,0.02603152427148364,0.022532199934729876,0.020335616846288596,0.04510222956980677,0.030528414400759672,0.04079548734249744
2019-02-22,0.003945977880331442,0.00922801966037601,0.014704384068256537,0.02706053687365008,0.0072929351597849365,0.028268255722871883
2019-03-01,-0.012822500023008417,-0.015789594075321003,-0.009191233170893789,0.008127541962356384,-0.005619402073496303,0.0026370069168713977
2019-03-08,-0.005043311015401975,0.004107250407261184,0.005953967963232895,0.006115838441843069,-0.008050074486249933,-0.0030302308495803202
2019-03-15,0.012531124343975403,0.01798592139065998,0.03199972153853557,0.019612146589620353,0.004546780336661612,0.010264276561064007
2019-03-22,-0.011790061818343177,0.0009639605411847958,0.009750949928730133,-0.005532315339508691,-0.02353721584982586,-0.024500407437164785
2019-03-29,0.02797239961286812,0.018533078727866217,0.030990968060283328,0.025654082394547223,0.014384470718039484,-0.006744040291589712
2019-04-05,0.033918900470229246,0.020534767943543548,0.020642974477219998,0.028675501029766362,0.01914486040570784,-0.0023303654621076994
2019-04-12,0.03161866291482058,0.018480578375976407,0.031063299987279056,0.04032679997603824,0.025252425891275264,0.007982664770135256
2019-04-19,0.04015686804935945,0.023674973173794668,0.021725223081721434,0.043888099376317206,0.02648749657857328,0.02279548904369832
2019-04-26,0.03589613121614693,0.00732424450901169,-0.002190899601567743,0.026388103215521496,0.027392587830193098,0.02693853541311915
2019-05-03,0.031098785243189608,0.020438741429722053,0.0006778268978775866,0.01750993265622029,0.020529781210184197,0.020934333408688267
2019-05-10,0.009398350086302694,-0.013998343808048446,-0.01233128650028325,-0.01007890754335801,-0.015477429427629048,-0.004055219637119719
2019-05-17,0.001599022325927039,-0.005082391740413481,0.005921251305281063,0.009250900142690067,-0.0001408258744076161,0.002772597320884293
2019-05-24,0.001294927245127468,0.006656687492206821,0.011074120390601494,0.011812060131936298,0.0018297765415991227,0.007519605964201747
2019-05-31,0.009225382661128146,0.009041148653278328,0.01285967217849446,0.01396697438900936,0.0023930637571436437,0.008116577411922557
2019-06-07,0.029065815451605796,0.030759703317889235,0.019980647041325506,0.03815893046513627,0.03367829265725636,0.033933389095185035
2019-06-14,0.01499899761675399,0.009645453334924238,-0.00017850362109753966,0.002788317299580798,0.00817549713524622,0.010874015067158311
2019-06-21,0.012478947312063112,0.01582161084574497,0.005630312037540786,0.013493469584550935,0.014917401980370741,0.011841047539793972
2019-06-28,0.0041844279682918826,0.009764925548524869,0.009238100863585305,0.006971998510663398,0.018100854893477868,0.0070994510136885465
2019-07-05,0.00815827309102784,0.0030069278311959436,0.0030706395125271314,-0.006982164707246421,0.011707060198668115,0.008564105602586254
2019-07-12,-0.00837169297077534,-0.0002404800650237126,-0.0014362261798488202,-0.005368709714200517,0.0077903780137861525,0.00012457300665643138
2019-07-19,-0.016259339094251958,-0.00587530420860855,-0.00574584914242854,-0.009153901220424084,-0.006471201089981521,-0.00866557311706399
2019-07-26,-0.010923837306715504,-0.0001128463424274216,0.006001868915863472,-0.005311560600462673,-0.013388712666098132,-0.0035480446560453333
2019-08-02,-0.00010754537988894506,0.023740269303128708,0.01751677768251581,0.015669259620189994,0.0018864826409002373,0.018133769215023104
2019-08-09,-0.002293832866076019,0.0039022722713053424,0.0060415401376544406,-0.001961877493912424,-0.0010839294173290714,0.012770685165083492
2019-08-16,-0.006906837438250601,0.0033634848810690965,0.005348330208818184,-0.005272873542685298,-0.0069897121070025894,0.005113983818650735
2019-08-23,0.01825692311912512,0.0248016592786225,0.02147270355172387,-0.008250149838194434,-0.004968551103118882,0.007274916870990434
2019-08-30,0.027617746433666632,0.0063118104618809295,0.026543735732305417,0.010155654503028447,-0.0006770114943710053,0.0021949442206535877
2019-09-06,0.03733532100988898,0.0037495900534822283,0.012050786319048252,-0.002665897217204854,-0.0018751160258039838,0.0025805114664792035
2019-09-13,0.025239031025884248,0.00832257993271596,0.009241497465564573,0.013884887123107092,0.015957931795854204,-0.0008529948402604835
2019-09-20,0.01088662021244622,-0.006981986346517295,0.007631617825054894,0.027382102127087225,0.01103784531286358,-0.0024993540417835402
2019-09-27,0.03113508836531652,0.020663364233606183,0.014391689901658261,0.02307518739419479,0.03590268763735537,0.014034918459612172
2019-10-04,0.009267964027615655,0.009443634789832699,0.00595906678586694,0.015963345033418293,0.024194972673287737,0.006780331636997687
2019-10-11,0.009875623132115267,0.009336731898742305,0.02391192029093488,0.016616431365599687,0.013091890225573957,0.01605150275986908
2019-10-18,0.0346503671866075,0.028393751562880095,0.03733857575539146,0.0293877720764408,0.018916999422190498,0.019667503048989305
2019-10-25,0.03241597378923917,0.03838514558599364,0.04317430270275449,0.037843227353779534,0.025020343659791063,0.034679070593137386
2019-11-01,0.02751668827786535,0.02097134954834794,0.033820034190104514,0.03729060474724617,0.03002660582596046,0.04267584279441929
2019-11-08,0.01043750926828683,0.016264148360300535,0.01812642104520189,-0.0009331629995442814,0.005819358190851771,0.016611832643914526
2019-11-15,0.013144413663944778,0.02150435011974029,0.017345094531296044,0.012478293997035952,0.02754928755441044,0.015558833520547764
2019-11-22,0.001852378614068535,0.011722924276659412,0.006963600685002668,0.009829522213893965,0.017175807803369046,0.0013645381487561471
2019-11-29,0.006633546503846831,0.029558676959842246,0.018287059912432267,0.013136385226202734,0.028224577568649586,0.003991623586909452
2019-12-06,0.034997880266507166,0.04117050240467249,0.03945781810613916,0.03565254987915981,0.04345452946423016,0.0236295628494698
2019-12-13,0.026403101382819358,0.024674736837561644,0.026319088702805495,0.032438746976182806,0.028676206550039707,0.019274994549755793
2019-12-20,0.023813788474771006,0.03259040472066886,0.02232348915408683,0.01970542789880095,0.03603805011300407,0.021368729332301235
2019-12-27,0.022546900425224642,0.02661447449047338,0.022011362447516773,0.02283638616936482,0.020846657660072623,0.028275839736874326
2020-01-03,0.009668856599912224,0.0017175903114403405,0.008848554517901949,0.01792157859221916,0.004251058143307263,0.003744453066903559
2020-01-10,-0.0062249213842316626,-0.006594695363921534,-0.006205660752733202,0.0032045366092802495,-0.0015631222482422023,0.003461393550227353
