,Numerai-MLP_None_1_2000_10-random-87
2015-05-15,0.020360616388679833
2015-05-22,0.034979200872146614
2015-05-29,0.02794967856320992
2015-06-05,0.03642171608086096
2015-06-12,0.025699498633730517
2015-06-19,0.014156618420671271
2015-06-26,0.001628707425436207
2015-07-03,1.8949097736104345e-06
2015-07-10,-0.005791998200698222
2015-07-17,0.014678433241090411
2015-07-24,0.025711080692068806
2015-07-31,0.018067405261638504
2015-08-07,0.04257779003488985
2015-08-14,0.03481475284837508
2015-08-21,0.03757308017935764
2015-08-28,0.03314481226760035
2015-09-04,0.017961812053980165
2015-09-11,0.014818941429134369
2015-09-18,0.0013846318433749917
2015-09-25,0.019107483945773426
2015-10-02,0.035746829155236866
2015-10-09,0.05747445232746137
2015-10-16,0.06608192792468388
2015-10-23,0.057389742338918
2015-10-30,0.050895921366478775
2015-11-06,0.04377286357076238
2015-11-13,0.035777460971132664
2015-11-20,0.05836245857419244
2015-11-27,0.04806135166379505
2015-12-04,0.03876476568884843
2015-12-11,0.04370723104034725
2015-12-18,0.05058025427945115
2015-12-25,0.04737651626619859
2016-01-01,0.0096088420354697
2016-01-08,0.0013751808795346584
2016-01-15,0.008454916283973787
2016-01-22,-0.003261216265385968
2016-01-29,-0.01191086432328938
2016-02-05,-0.008620418544295894
2016-02-12,-0.0028828748346137745
2016-02-19,0.012733516180089353
2016-02-26,0.024429016204008183
2016-03-04,0.03597711841288631
2016-03-11,0.009169056937542925
2016-03-18,0.023621842155234572
2016-03-25,0.019042861254539724
2016-04-01,0.03846682402036526
2016-04-08,0.021169878021914015
2016-04-15,0.031108330108648122
2016-04-22,0.010202701116661873
2016-04-29,0.02695981152871036
2016-05-06,0.046220671895581426
2016-05-13,0.03281207945033979
2016-05-20,0.036680812565857215
2016-05-27,0.02469367684215128
2016-06-03,0.005002198747312761
2016-06-10,-0.017691110654339683
2016-06-17,-0.006274225230131429
2016-06-24,-0.0012932269436289549
2016-07-01,0.015734288234409834
2016-07-08,0.025145260641820516
2016-07-15,0.021369651567598087
2016-07-22,0.007459634711117369
2016-07-29,0.011358525053988246
2016-08-05,0.014794085381174733
2016-08-12,0.04203433428526673
2016-08-19,0.04021991193613499
2016-08-26,0.025382376173289374
2016-09-02,0.004681221008473066
2016-09-09,0.006284429067524605
2016-09-16,0.004648256534190093
2016-09-23,0.006008326734085515
2016-09-30,0.04712328288462511
2016-10-07,0.04950811994880864
2016-10-14,0.02623017383543676
2016-10-21,0.013053945650146549
2016-10-28,0.015618737697679122
2016-11-04,-0.001508765199356875
2016-11-11,0.0022955130276343964
2016-11-18,0.006967794151723518
2016-11-25,-0.014410272067437486
2016-12-02,0.0005520138561454133
2016-12-09,0.021879778103900453
2016-12-16,0.033288122428028796
2016-12-23,0.03088158810538876
2016-12-30,0.03956640660426295
2017-01-06,0.010007127276215397
2017-01-13,0.005532647779836059
2017-01-20,0.006591020581486622
2017-01-27,0.0056061624090411
2017-02-03,0.022420704473945008
2017-02-10,0.04333829475007239
2017-02-17,0.03434665618941537
2017-02-24,0.029043806080358354
2017-03-03,0.023095924522758958
2017-03-10,0.010997155159591179
2017-03-17,0.018344599075539973
2017-03-24,0.03730506178274109
2017-03-31,0.02744381602549095
2017-04-07,0.01447971131202952
2017-04-14,0.01692759858453753
2017-04-21,0.003937854354428855
2017-04-28,0.00462990920986301
2017-05-05,-0.009665438215477502
2017-05-12,-0.01393707093043703
2017-05-19,0.012551263575759374
2017-05-26,0.0016741274524960158
2017-06-02,0.042574697903524
2017-06-09,0.02696929590537751
2017-06-16,0.04609056340997986
2017-06-23,0.030754496983817346
2017-06-30,0.04253178124081277
2017-07-07,0.023496462170727532
2017-07-14,0.012056516281615795
2017-07-21,0.0040155577355961
2017-07-28,0.014875422625012295
2017-08-04,0.02175934079433622
2017-08-11,0.03840858468723269
2017-08-18,0.010780525871308849
2017-08-25,-2.6109549895616207e-06
2017-09-01,-0.0008018457466573966
2017-09-08,0.015342830436727873
2017-09-15,0.01339474812187229
2017-09-22,0.006328982416721054
2017-09-29,0.03485535791442931
2017-10-06,0.016995098055134925
2017-10-13,0.016854853139874167
2017-10-20,0.009054059451506464
2017-10-27,0.031621151201291185
2017-11-03,0.007126988775353796
2017-11-10,-0.014699082671571762
2017-11-17,-0.008687084869200829
2017-11-24,-0.016674705318699662
2017-12-01,0.0018326092312167623
2017-12-08,0.0011226804881682769
2017-12-15,0.0021339015903068122
2017-12-22,0.0063945722780691435
2017-12-29,0.016653462928110162
2018-01-05,0.024898492415725292
2018-01-12,0.03422136544629821
2018-01-19,0.0365997244281697
2018-01-26,0.04283210941339759
2018-02-02,0.03450484562314165
2018-02-09,0.02795555705341245
2018-02-16,0.009735774996223747
2018-02-23,0.012291504318274341
2018-03-02,0.011322942335526798
2018-03-09,0.024853803756082468
2018-03-16,0.02943087586449052
2018-03-23,0.02104283077340633
2018-03-30,0.03014500019199024
2018-04-06,0.019833790623786
2018-04-13,0.012993881185477023
2018-04-20,0.010089650670189293
2018-04-27,0.01417830943166636
2018-05-04,0.01849363495236032
2018-05-11,0.023334863388262655
2018-05-18,0.030241736441374678
2018-05-25,0.03792135532367279
2018-06-01,0.023442564035305532
2018-06-08,0.03541454478775596
2018-06-15,0.014365788263280232
2018-06-22,0.021220365649930413
2018-06-29,0.016886692033740807
2018-07-06,0.037160181628214384
2018-07-13,0.029857123751208345
2018-07-20,0.039059265810419505
2018-07-27,0.0524567244080373
2018-08-03,0.023055857787939584
2018-08-10,0.023717582788132307
2018-08-17,0.02283345819618182
