,lightgbm-gbdt_None_1_2000_10-random-89
2015-05-08,0.0531512755478634
2015-05-15,0.06395520893652416
2015-05-22,0.051034089081233566
2015-05-29,0.051045705058867005
2015-06-05,0.048269966121350844
2015-06-12,0.04596339361102318
2015-06-19,0.040223557941844734
2015-06-26,0.025109137846407864
2015-07-03,0.022569663942352707
2015-07-10,0.019641219630371694
2015-07-17,0.03489363430593866
2015-07-24,0.03922203046293049
2015-07-31,0.03151205163919622
2015-08-07,0.04062952455349605
2015-08-14,0.04285161971966815
2015-08-21,0.04119554398640923
2015-08-28,0.030220326708945665
2015-09-04,0.01928734639176201
2015-09-11,0.022216171390949467
2015-09-18,0.005945172386284527
2015-09-25,0.016245824891033177
2015-10-02,0.01700776822474951
2015-10-09,0.056430075998185836
2015-10-16,0.0652325150543019
2015-10-23,0.05917722127092679
2015-10-30,0.06427155494826349
2015-11-06,0.05700291104320559
2015-11-13,0.039784235968369296
2015-11-20,0.05265724285595819
2015-11-27,0.038661361365844485
2015-12-04,0.02866795608249797
2015-12-11,0.037697598220955426
2015-12-18,0.05980083908781961
2015-12-25,0.07064242713569985
2016-01-01,0.03385098831524518
2016-01-08,0.006312697406848887
2016-01-15,0.009691749203569385
2016-01-22,0.004675840693589623
2016-01-29,-0.015210934181819867
2016-02-05,-0.021494366346281317
2016-02-12,-0.005354642607818028
2016-02-19,-0.007249663742982734
2016-02-26,0.011190328173347103
2016-03-04,0.04355717272736651
2016-03-11,0.03453731016505628
2016-03-18,0.02989970142770189
2016-03-25,0.017101724035569636
2016-04-01,0.029302489809159185
2016-04-08,0.018481413650451556
2016-04-15,0.03148573681861573
2016-04-22,0.02951141964475706
2016-04-29,0.055011787498629686
2016-05-06,0.05758519559155499
2016-05-13,0.0521021861471878
2016-05-20,0.057533677107168356
2016-05-27,0.02219046252806882
2016-06-03,-0.0005397743125498599
2016-06-10,-0.00954137841076107
2016-06-17,-0.007568081896291866
2016-06-24,-0.0024888784499464416
2016-07-01,-0.0004139721801973612
2016-07-08,0.025351119875939198
2016-07-15,0.025551040164410378
2016-07-22,0.027288232420508447
2016-07-29,0.013503954214220194
2016-08-05,0.03270375243038494
2016-08-12,0.06539585786217962
2016-08-19,0.07120902688507051
2016-08-26,0.030962572004719108
2016-09-02,0.015592020069691065
2016-09-09,0.01567477347877044
2016-09-16,0.0045292246156994394
2016-09-23,0.01685898924873862
2016-09-30,0.035869358914442546
2016-10-07,0.034893569221127546
2016-10-14,0.022667513565280385
2016-10-21,0.0031882810113671774
2016-10-28,0.022687327904901435
2016-11-04,-0.004728354052047421
2016-11-11,-0.006239521385568756
2016-11-18,0.014181640794527333
2016-11-25,-0.006170394222218613
2016-12-02,-1.2873171548087605e-05
2016-12-09,0.029176387823835196
2016-12-16,0.033928823065728114
2016-12-23,0.020383988633626657
2016-12-30,0.038715718143445224
2017-01-06,0.015282112150797765
2017-01-13,0.021281242884939034
2017-01-20,0.03550978894053926
2017-01-27,0.025758132438936283
2017-02-03,0.03166480622207902
2017-02-10,0.0385132477586236
2017-02-17,0.0333895845570526
2017-02-24,0.03730355241848243
2017-03-03,0.054143540697518935
2017-03-10,0.027759840791597913
2017-03-17,0.02310803131463282
2017-03-24,0.053011646618484363
2017-03-31,0.03215522777797138
2017-04-07,0.02419814246478871
2017-04-14,0.028825533879727947
2017-04-21,0.02239582623042937
2017-04-28,0.005980644564619181
2017-05-05,-0.010749063563496926
2017-05-12,0.008580823086112278
2017-05-19,0.01745848325883248
2017-05-26,0.0017232432807683892
2017-06-02,0.019073597229390657
2017-06-09,0.014020555061474408
2017-06-16,0.034119460716375914
2017-06-23,0.030355632555473015
2017-06-30,0.03346179145919156
2017-07-07,0.02055429046011285
2017-07-14,0.02861540647552387
2017-07-21,0.020003687119023082
2017-07-28,0.010483616124953101
2017-08-04,0.027343246133511433
2017-08-11,0.031238870946858288
2017-08-18,0.01323645475278195
2017-08-25,-0.0007738580482961196
2017-09-01,0.012809999435547816
2017-09-08,0.015393562243490672
2017-09-15,0.013304348783476805
2017-09-22,0.0016190488130918557
2017-09-29,0.016703117504117137
2017-10-06,0.021822766087389405
2017-10-13,0.012548425567762604
2017-10-20,0.016601399504589717
2017-10-27,0.026600195213886017
2017-11-03,0.002642578337311677
2017-11-10,-0.014840443656010597
2017-11-17,0.002902447751381381
2017-11-24,-0.018261757616670527
2017-12-01,-0.003446127126779272
2017-12-08,-0.0297014460927179
2017-12-15,-0.008683082131802432
2017-12-22,-0.017575163533421485
2017-12-29,-0.023237013995608166
2018-01-05,0.014093023528202598
2018-01-12,0.02852047038233199
2018-01-19,0.058836130458575296
2018-01-26,0.07813509766953498
2018-02-02,0.05533631836967076
2018-02-09,0.02007839035279093
2018-02-16,0.01552222613704163
2018-02-23,0.0170547307947781
2018-03-02,0.01123449281697277
2018-03-09,0.019279494843915022
2018-03-16,0.03179636338848276
2018-03-23,0.006413246678708102
2018-03-30,0.013196296802091393
2018-04-06,0.010538864809990275
2018-04-13,0.005193828490699386
2018-04-20,0.017161087875766867
2018-04-27,0.02470052495522522
2018-05-04,0.007038008330867161
2018-05-11,0.014433821857472518
2018-05-18,0.021950752606155238
2018-05-25,0.041848597438653296
2018-06-01,0.031010462610521893
2018-06-08,0.036526147161709155
2018-06-15,0.03427113134585163
2018-06-22,0.009335540533891632
2018-06-29,0.00634226264789159
2018-07-06,0.03971436249172431
2018-07-13,0.02777658307137584
2018-07-20,0.04852851123338237
2018-07-27,0.05156209961411258
2018-08-03,0.0436921526423588
2018-08-10,0.039772787189446934
