,numerai_models_v4/lightgbm-dart_None_1_2000.parameters-random-19
2015-05-08,0.04397267267799838
2015-05-15,0.046205804983433116
2015-05-22,0.047137020204407284
2015-05-29,0.03356697554976212
2015-06-05,0.02644126196499027
2015-06-12,0.02908779193043667
2015-06-19,0.02377309707528366
2015-06-26,0.021636777519134787
2015-07-03,0.016759264205333906
2015-07-10,0.012710606608657853
2015-07-17,0.025905475818440788
2015-07-24,0.051146223793527804
2015-07-31,0.03675143652822005
2015-08-07,0.04404593052415153
2015-08-14,0.04373729787255331
2015-08-21,0.03445795576148398
2015-08-28,0.013967454841030146
2015-09-04,0.022317230345752823
2015-09-11,0.01467841122870789
2015-09-18,0.004974193930375876
2015-09-25,0.01153751834672012
2015-10-02,0.01809346384771104
2015-10-09,0.0536750583852143
2015-10-16,0.07514870354282079
2015-10-23,0.055789955106100596
2015-10-30,0.0465538881180878
2015-11-06,0.03723789943222419
2015-11-13,0.043192773328415736
2015-11-20,0.041702672631726265
2015-11-27,0.031192047586434596
2015-12-04,0.03875019066229104
2015-12-11,0.029730003285421764
2015-12-18,0.053535951021630064
2015-12-25,0.06497082645228758
2016-01-01,0.029961118542989763
2016-01-08,0.007922561053282255
2016-01-15,0.002905078278372714
2016-01-22,0.011885825399507447
2016-01-29,0.003070717605941363
2016-02-05,-0.009490110161827927
2016-02-12,0.012237895847553122
2016-02-19,0.015474212725031347
2016-02-26,0.017513094046022904
2016-03-04,0.03206446870427967
2016-03-11,0.0291142102003791
2016-03-18,0.01971124294135317
2016-03-25,0.010563510700605723
2016-04-01,0.026419874384786112
2016-04-08,0.02312311390329815
2016-04-15,0.03476430444315159
2016-04-22,0.021927050874328294
2016-04-29,0.028235499209827812
2016-05-06,0.04472296858714883
2016-05-13,0.03357848362132789
2016-05-20,0.0497060998499795
2016-05-27,0.0051630161270438835
2016-06-03,-0.012618720475161454
2016-06-10,-0.006312053644307241
2016-06-17,0.00792685087374083
2016-06-24,0.016956668893301344
2016-07-01,0.031346508746449876
2016-07-08,0.04748871311768325
2016-07-15,0.03851028277243158
2016-07-22,0.01907380334491713
2016-07-29,0.027058166708789713
2016-08-05,0.028160023940166756
2016-08-12,0.0530723678636613
2016-08-19,0.053922840474466535
2016-08-26,0.0443340723916017
2016-09-02,0.03502426923806965
2016-09-09,0.0470960151021186
2016-09-16,0.03237292450879495
2016-09-23,0.036583433011177106
2016-09-30,0.03923670678047386
2016-10-07,0.039687429893847805
2016-10-14,0.032803560818972954
2016-10-21,0.0210567480449173
2016-10-28,0.04374321754958907
2016-11-04,0.014740800499990962
2016-11-11,0.013012054705936835
2016-11-18,0.018074163505200653
2016-11-25,-0.006040418497119911
2016-12-02,-0.007560842755910589
2016-12-09,0.027098255871374936
2016-12-16,0.05202982723505907
2016-12-23,0.03626244738848943
2016-12-30,0.04747440047591116
2017-01-06,0.02335971064248974
2017-01-13,0.03339084865418268
2017-01-20,0.042036101468167344
2017-01-27,0.020037992021472315
2017-02-03,0.01640847759595488
2017-02-10,0.0385830986002702
2017-02-17,0.0418945654461921
2017-02-24,0.0338379028597327
2017-03-03,0.035962558657305084
2017-03-10,0.03133091920361452
2017-03-17,0.02101181383981695
2017-03-24,0.0388589754438897
2017-03-31,0.03758687586126834
2017-04-07,0.033347191832894627
2017-04-14,0.022545675008541186
2017-04-21,0.007312074214391146
2017-04-28,0.007532231679680164
2017-05-05,-0.0028852596600409787
2017-05-12,-0.0036052362191621268
2017-05-19,0.03259492643100744
2017-05-26,0.017821967205271044
2017-06-02,0.04417099690635094
2017-06-09,0.028600637884729895
2017-06-16,0.030357205212720284
2017-06-23,0.02690176313787473
2017-06-30,0.02983220849671248
2017-07-07,0.009833889141456671
2017-07-14,0.0066848124749418055
2017-07-21,0.024052561834615526
2017-07-28,0.03150015090904533
2017-08-04,0.033805101380384873
2017-08-11,0.045993529481041136
2017-08-18,0.025400871320120744
2017-08-25,0.02296523482294036
2017-09-01,0.028071401340532022
2017-09-08,0.023175040911569352
2017-09-15,0.01274167085025863
2017-09-22,0.005489854634585862
2017-09-29,0.021220046544588585
2017-10-06,0.015720860201883166
2017-10-13,0.024388043676063516
2017-10-20,0.014752267015718431
2017-10-27,0.028542679923307366
2017-11-03,0.018285779707574067
2017-11-10,0.0016707218908036988
2017-11-17,0.026167466425805388
2017-11-24,0.012774683779279882
2017-12-01,0.022277638008672516
2017-12-08,0.0009563892546116689
2017-12-15,0.008121446428566529
2017-12-22,-0.005954180816018729
2017-12-29,-0.006694488178018524
2018-01-05,0.01988331754488936
2018-01-12,0.020904272745789095
2018-01-19,0.04023776889316076
2018-01-26,0.055093845042496745
2018-02-02,0.036634986432331554
2018-02-09,0.027912127354563273
2018-02-16,0.02430822568990734
2018-02-23,0.02596595284360668
2018-03-02,0.023576289368605178
2018-03-09,0.025235628863033724
2018-03-16,0.0422076330149644
2018-03-23,0.01334216602132591
2018-03-30,0.03380718436578477
2018-04-06,0.021741239107273786
2018-04-13,0.007139750924952445
2018-04-20,0.014410832736669914
2018-04-27,0.030148844057478107
2018-05-04,0.0022375987597887804
2018-05-11,0.029745657190653654
2018-05-18,0.029514252161856772
2018-05-25,0.050990161017221466
2018-06-01,0.037558731548371097
2018-06-08,0.030720391939055045
2018-06-15,0.013480957924929409
2018-06-22,0.01611815828871573
2018-06-29,0.013127052379216717
2018-07-06,0.025825302862037887
2018-07-13,0.04170586039635397
2018-07-20,0.03791365285635458
2018-07-27,0.04190757123843303
2018-08-03,0.02862216724158003
2018-08-10,0.019494538877791324
