,numerai_models_v4/lightgbm-gbdt_None_1_2000.parameters-random-0
2015-05-08,0.04882460706171696
2015-05-15,0.053727282503473806
2015-05-22,0.05483475918513954
2015-05-29,0.05218392795291387
2015-06-05,0.04642074159875312
2015-06-12,0.053074805687616196
2015-06-19,0.04752474923832409
2015-06-26,0.037493198602693976
2015-07-03,0.03381511968843339
2015-07-10,0.02026242040286761
2015-07-17,0.028279116736469847
2015-07-24,0.044136486637975154
2015-07-31,0.026378613041903382
2015-08-07,0.04510102001303449
2015-08-14,0.04307997833173684
2015-08-21,0.04221436691308997
2015-08-28,0.03628296327302554
2015-09-04,0.01820994084840062
2015-09-11,0.01242515889743549
2015-09-18,0.00016437824253571595
2015-09-25,0.014144578532915428
2015-10-02,0.012639135837118473
2015-10-09,0.060403452485690665
2015-10-16,0.07391522369568333
2015-10-23,0.06900931709654405
2015-10-30,0.06423761029715871
2015-11-06,0.051868591953601474
2015-11-13,0.049253969937318176
2015-11-20,0.045707476495553755
2015-11-27,0.029914368130507484
2015-12-04,0.02553672784956408
2015-12-11,0.037915756454769044
2015-12-18,0.06532419192893948
2015-12-25,0.06670437309530786
2016-01-01,0.04125990275633745
2016-01-08,0.011967713371195355
2016-01-15,0.007685153688636578
2016-01-22,0.012234865431884245
2016-01-29,-0.011216138457468017
2016-02-05,-0.021244648066753632
2016-02-12,0.005836099982772602
2016-02-19,-0.005966048449231197
2016-02-26,0.024011428967453112
2016-03-04,0.04448517504322377
2016-03-11,0.04239050889622242
2016-03-18,0.03687796418404577
2016-03-25,0.014030486615438546
2016-04-01,0.02604666620423927
2016-04-08,0.017622125987420835
2016-04-15,0.03257461031746297
2016-04-22,0.033022963902032326
2016-04-29,0.052604785815007424
2016-05-06,0.043243100618932606
2016-05-13,0.04881645705895286
2016-05-20,0.05143622221128462
2016-05-27,0.012231778613823631
2016-06-03,-0.002067399339342994
2016-06-10,-0.008457755340712431
2016-06-17,-0.005172527046431661
2016-06-24,0.00934938708647052
2016-07-01,0.01131215353746976
2016-07-08,0.03443530237925778
2016-07-15,0.028893614804971865
2016-07-22,0.03379839170893922
2016-07-29,0.0050550300938483434
2016-08-05,0.0368965176970497
2016-08-12,0.05333601636543797
2016-08-19,0.056822732383141165
2016-08-26,0.033111281893575414
2016-09-02,0.013145853431648119
2016-09-09,0.022134221877530398
2016-09-16,0.008062158085345281
2016-09-23,0.015318925092452126
2016-09-30,0.0348084838719473
2016-10-07,0.04046091626513179
2016-10-14,0.015167128046556427
2016-10-21,-0.00015453792801286003
2016-10-28,0.020419396122715813
2016-11-04,-0.009176743856034794
2016-11-11,-0.008910957916678492
2016-11-18,0.0045763609035193095
2016-11-25,-0.0018182790633938888
2016-12-02,-0.0005668793042426125
2016-12-09,0.03340026792301724
2016-12-16,0.038350293321873966
2016-12-23,0.02472637278309354
2016-12-30,0.03912098824721857
2017-01-06,0.011768369618687456
2017-01-13,0.01682374420735128
2017-01-20,0.035649310968089806
2017-01-27,0.026451723023000417
2017-02-03,0.021981670225553498
2017-02-10,0.03213709683345531
2017-02-17,0.0347586298675963
2017-02-24,0.030057005970565247
2017-03-03,0.04630847130084828
2017-03-10,0.027359152131234715
2017-03-17,0.02227376955691309
2017-03-24,0.0393112174983788
2017-03-31,0.03300111737675063
2017-04-07,0.033655072198520423
2017-04-14,0.0223982070662661
2017-04-21,0.021402498858353648
2017-04-28,0.02395992912851893
2017-05-05,-0.00037549790790964625
2017-05-12,0.022612301403429458
2017-05-19,0.032559687111369154
2017-05-26,0.00838594984423559
2017-06-02,0.034091171319986235
2017-06-09,0.030501992099240757
2017-06-16,0.024590035914039698
2017-06-23,0.027204109351780054
2017-06-30,0.03376823635374595
2017-07-07,0.008761258385618587
2017-07-14,0.015677360688989395
2017-07-21,0.007261378347138303
2017-07-28,0.009680545400470862
2017-08-04,0.03546054069814639
2017-08-11,0.03477783082950378
2017-08-18,0.014551526814115876
2017-08-25,0.01213716932204866
2017-09-01,0.026095868712444664
2017-09-08,0.02450909953385039
2017-09-15,0.013503256302093824
2017-09-22,0.00436682682581189
2017-09-29,-0.0026536665641321974
2017-10-06,0.012367164359011055
2017-10-13,0.018326633296044826
2017-10-20,0.025325989065924117
2017-10-27,0.02606766517458039
2017-11-03,0.0038983926826836237
2017-11-10,-0.0109185082985909
2017-11-17,-0.0016626345928493435
2017-11-24,-0.02790618558185532
2017-12-01,-0.0010914340176821592
2017-12-08,-0.018073223904558202
2017-12-15,0.003421780512241515
2017-12-22,-0.004747445581609089
2017-12-29,-0.005607204744143853
2018-01-05,0.011307955986488523
2018-01-12,0.023872560008144684
2018-01-19,0.03432665081153315
2018-01-26,0.06371044985216275
2018-02-02,0.033513023684712095
2018-02-09,0.020691309489775277
2018-02-16,0.017806384699429773
2018-02-23,0.02016980808716166
2018-03-02,0.02341216637306604
2018-03-09,0.024799639177535606
2018-03-16,0.01765565433731218
2018-03-23,0.0040562487243237
2018-03-30,0.02511214018780833
2018-04-06,0.011174822263633116
2018-04-13,0.0055526850816917574
2018-04-20,0.021925845774970667
2018-04-27,0.015711537615680653
2018-05-04,0.002141847427381124
2018-05-11,0.019211654531680927
2018-05-18,0.024942771531691752
2018-05-25,0.03767780319074858
2018-06-01,0.042254867485744044
2018-06-08,0.03545374559752067
2018-06-15,0.0316689112401865
2018-06-22,0.016397717340081774
2018-06-29,0.00832760760905998
2018-07-06,0.03557485774728148
2018-07-13,0.0330450350815567
2018-07-20,0.03600155481430847
2018-07-27,0.03708639439509242
2018-08-03,0.04012103609200311
