,numerai_models_v4/lightgbm-gbdt_None_1_2000.parameters-random-0
2019-02-01,0.014255398276090868
2019-02-08,0.012473632958291913
2019-02-15,0.041858102096146904
2019-02-22,0.037244424066369325
2019-03-01,0.04241831997567586
2019-03-08,0.0008752623343414102
2019-03-15,0.005439326124580218
2019-03-22,0.007462543283415882
2019-03-29,0.015251316329041304
2019-04-05,0.016400293262059076
2019-04-12,0.03387049597155267
2019-04-19,0.028608532548904168
2019-04-26,0.025616600863239452
2019-05-03,0.01790718302932893
2019-05-10,-0.008093407758019873
2019-05-17,-9.471751375251432e-05
2019-05-24,0.005749335627276202
2019-05-31,0.026792315294510278
2019-06-07,0.03625754810567164
2019-06-14,0.02171376870309809
2019-06-21,0.038091095797044755
2019-06-28,0.035914272096264244
2019-07-05,0.029450685941273185
2019-07-12,0.03280247126332439
2019-07-19,0.018837419570112184
2019-07-26,0.001834336752423514
2019-08-02,0.010706460654743542
2019-08-09,-0.002279537368329318
2019-08-16,0.022041641958241102
2019-08-23,0.004465282732388906
2019-08-30,-0.008558177345292349
2019-09-06,0.02136794461862434
2019-09-13,0.011986729593561027
2019-09-20,0.004013356735331936
2019-09-27,0.005486114239537297
2019-10-04,0.029140022578349196
2019-10-11,0.008962339546758529
2019-10-18,0.02083686781372554
2019-10-25,0.034379899141444556
2019-11-01,0.03587606512180014
2019-11-08,0.004883342859101673
2019-11-15,0.00019454849851420462
2019-11-22,0.015690231628178675
2019-11-29,0.010782900131891933
2019-12-06,0.024055605948581804
2019-12-13,0.010158591025452152
2019-12-20,0.01580505393914719
2019-12-27,0.015232880534018334
2020-01-03,0.010152454221099961
2020-01-10,0.03726638406733151
2020-01-17,0.021793980964039544
2020-01-24,0.033581691174461976
2020-01-31,0.027773009704562403
2020-02-07,0.018487475404781576
2020-02-14,0.0010826795042671083
2020-02-21,0.025975006165519596
2020-02-28,-0.0008190293866264133
2020-03-06,-0.0045062719080871715
2020-03-13,0.0127755707903512
2020-03-20,-0.006805624049014388
2020-03-27,0.009170408407607356
2020-04-03,0.025870709352162544
2020-04-10,0.025773258718739145
2020-04-17,0.012995693135816621
2020-04-24,0.014671582677998745
2020-05-01,0.001582003157648755
2020-05-08,-0.02024732001566936
2020-05-15,-0.013642855789282905
2020-05-22,0.018435421432452113
2020-05-29,0.0471405148980309
2020-06-05,0.05021836958251208
2020-06-12,0.053755965239604686
2020-06-19,0.03076931647556489
2020-06-26,0.016969276480807413
2020-07-03,0.02341259122113449
2020-07-10,0.01114577435384454
2020-07-17,0.029523012475620867
2020-07-24,0.030091201619444397
2020-07-31,0.04327705353656324
2020-08-07,0.005501438106119686
2020-08-14,0.0015519957073847068
2020-08-21,0.010290610923206846
2020-08-28,0.023843304518094077
2020-09-04,0.03322036635004238
2020-09-11,0.03406915131184559
2020-09-18,0.0207884950295895
2020-09-25,0.0369858233294566
2020-10-02,0.008091721848318719
2020-10-09,0.007157944507961605
2020-10-16,0.009907943174654018
2020-10-23,0.017204984515566537
2020-10-30,0.01165059138308587
2020-11-06,0.029790650567668216
2020-11-13,0.03476092461815536
2020-11-20,0.052352235304033594
2020-11-27,0.02491546645969778
2020-12-04,0.0373867280675981
2020-12-11,0.019293939302182594
2020-12-18,-0.0008095882573277847
2020-12-25,0.002164297882778713
2021-01-01,0.0171136273528579
2021-01-08,0.025390561545857428
2021-01-15,0.023516780742610426
2021-01-22,0.020127731885842236
2021-01-29,0.015120488853103521
2021-02-05,-0.008330810306233673
2021-02-12,0.0006523885927405398
2021-02-19,0.003276275884085433
2021-02-26,0.014118265985249902
2021-03-05,0.015240731958765873
2021-03-12,0.022654466214489535
2021-03-19,0.021756571723881207
2021-03-26,0.024988854638465518
2021-04-02,0.013713169169529154
2021-04-09,0.002835526991092742
2021-04-16,-0.0029088649138210325
2021-04-23,0.0016259865863382048
2021-04-30,0.00475565744328996
2021-05-07,0.005420771467465808
2021-05-14,0.01643480153870721
2021-05-21,0.04199854332446102
2021-05-28,0.04145399771541041
2021-06-04,0.052418886018194534
2021-06-11,0.027510954195377704
2021-06-18,0.02915527729779472
2021-06-25,0.021413179865844192
2021-07-02,0.03921104693133779
2021-07-09,0.010134974679932154
2021-07-16,0.014660125224956091
2021-07-23,0.01905984573121253
2021-07-30,0.022678018921956433
2021-08-06,0.0015052167072867188
2021-08-13,0.015123280690579522
2021-08-20,0.016571884233498674
2021-08-27,-0.007898846047718129
2021-09-03,0.006796268368198021
2021-09-10,0.026162088714209976
2021-09-17,0.01624249976882038
2021-09-24,0.035258113003089044
2021-10-01,0.027324654899797383
2021-10-08,0.003637761630087902
2021-10-15,-0.012255721727594635
2021-10-22,-0.026706929261760794
2021-10-29,-0.013646341182615656
2021-11-05,-0.006197404615011038
2021-11-12,0.006748299201371646
2021-11-19,0.03359280425932951
2021-11-26,0.025153825671789212
2021-12-03,0.0019042075226360625
2021-12-10,0.008810090846943194
2021-12-17,0.0007552547636461268
2021-12-24,0.01236989370963547
2021-12-31,0.01602903203849659
2022-01-07,0.021730567310479662
2022-01-14,0.02796018287508735
2022-01-21,0.006212711185800124
2022-01-28,0.021822948369098878
2022-02-04,0.0010683764374054769
2022-02-11,0.004025647309517681
2022-02-18,0.01728587727005299
2022-02-25,-0.010155308578435206
2022-03-04,0.0070471011005721704
2022-03-11,0.0015260182582480183
2022-03-18,-0.006786842765679219
2022-03-25,0.021437923322812313
2022-04-01,0.01063745494508661
2022-04-08,0.0014246835725421586
2022-04-15,0.002403452114976025
2022-04-22,0.011840208439668537
2022-04-29,-0.014075673666261957
2022-05-06,0.01232936411659676
2022-05-13,0.01754998286933819
2022-05-20,0.0026443247602237797
2022-05-27,0.05088199240642109
2022-06-03,0.042170109611622104
2022-06-10,0.06551303383522354
2022-06-17,0.03507103826974647
2022-06-24,0.036064520670865
2022-07-01,0.016575322150703
2022-07-08,0.006558208088806908
2022-07-15,0.010540575497751063
2022-07-22,0.015549472306468127
2022-07-29,0.0059547705912774114
2022-08-05,0.012397355948037175
2022-08-12,0.016720178628699518
2022-08-19,0.007850516716360011
2022-08-26,-0.009157038080289646
2022-09-02,0.004986006787443259
2022-09-09,-0.01841100307611399
2022-09-16,-0.020101814547201016
2022-09-23,-0.0186073150465
2022-09-30,-0.04347111428409485
2022-10-07,nan
2022-10-14,nan
2022-10-21,nan
2022-10-28,nan
2022-11-04,nan
