,lightgbm-gbdt_None_1_2002_1-all,lightgbm-gbdt_None_1_2002_1-baseline,lightgbm-gbdt_None_1_2002_1-high_autocorrelation_small,lightgbm-gbdt_None_1_2002_1-high_autocorrelation_standard,lightgbm-gbdt_None_1_2002_1-high_calmar_small,lightgbm-gbdt_None_1_2002_1-high_calmar_standard,lightgbm-gbdt_None_1_2002_1-high_drawdown_small,lightgbm-gbdt_None_1_2002_1-high_drawdown_standard,lightgbm-gbdt_None_1_2002_1-high_kurt_small,lightgbm-gbdt_None_1_2002_1-high_kurt_standard,lightgbm-gbdt_None_1_2002_1-high_mean_small,lightgbm-gbdt_None_1_2002_1-high_mean_standard,lightgbm-gbdt_None_1_2002_1-high_sharpe_small,lightgbm-gbdt_None_1_2002_1-high_sharpe_standard,lightgbm-gbdt_None_1_2002_1-high_skew_small,lightgbm-gbdt_None_1_2002_1-high_skew_standard,lightgbm-gbdt_None_1_2002_1-high_volatility_small,lightgbm-gbdt_None_1_2002_1-high_volatility_standard,lightgbm-gbdt_None_1_2002_1-low_autocorrelation_small,lightgbm-gbdt_None_1_2002_1-low_autocorrelation_standard,lightgbm-gbdt_None_1_2002_1-low_calmar_small,lightgbm-gbdt_None_1_2002_1-low_calmar_standard,lightgbm-gbdt_None_1_2002_1-low_drawdown_small,lightgbm-gbdt_None_1_2002_1-low_drawdown_standard,lightgbm-gbdt_None_1_2002_1-low_kurt_small,lightgbm-gbdt_None_1_2002_1-low_kurt_standard,lightgbm-gbdt_None_1_2002_1-low_mean_small,lightgbm-gbdt_None_1_2002_1-low_mean_standard,lightgbm-gbdt_None_1_2002_1-low_sharpe_small,lightgbm-gbdt_None_1_2002_1-low_sharpe_standard,lightgbm-gbdt_None_1_2002_1-low_skew_small,lightgbm-gbdt_None_1_2002_1-low_skew_standard,lightgbm-gbdt_None_1_2002_1-low_volatility_small,lightgbm-gbdt_None_1_2002_1-low_volatility_standard,lightgbm-gbdt_None_1_2002_1-optimizer
2015-02-20,0.0359987684063149,0.0707181057356822,0.0659396413148463,0.0493412483955636,0.0593793497566421,0.0467774763180008,0.0592173222756174,0.0567202301291507,0.0656493222799311,0.0530396879942026,0.0666306734748764,0.0487439799391178,0.0607308458422567,0.0460439970759428,0.06679159226346,0.0402132251439358,0.0645799092282412,0.0484698161369147,0.0593142536718902,0.0410494960137407,0.0735447963064033,0.0642876895777128,0.0557586770135095,0.0497329335965158,0.0527596639605255,0.0519108807046004,0.058015974823445,0.0674590251129596,0.060598119518602,0.0680121042563987,0.0737925098746561,0.0511447742278493,0.0672593020889399,0.0630535565062128,0.0573380885880729
2015-02-27,0.0309565348208695,0.0580167700643423,0.0454378079276763,0.0504846618508691,0.0597330386570958,0.0624694580600934,0.0565320665377504,0.0495199918175688,0.0706259225952996,0.0524519374914484,0.0599812005368732,0.0608485025969614,0.0487666545443082,0.0653501907091019,0.0543582000838787,0.0436962489522703,0.0489157097370662,0.0368063583932784,0.0651428095713516,0.0578130244190982,0.0589417658098565,0.0473601931390475,0.055817613227818,0.0598025872093901,0.0558686681877977,0.048035288290977,0.0488289321115899,0.0506817687706668,0.0505930943664916,0.0488012707555638,0.0639418325251422,0.0459156380949165,0.0586038230716628,0.0468498016041422,0.0601623429026215
2015-03-06,0.0534055096981143,0.0652294785516415,0.0538113318920856,0.0682459750220773,0.0638463221807805,0.0721257859662979,0.0759298978789805,0.0743537246828909,0.0772714354876889,0.0716117549907298,0.070761946983153,0.080494141145696,0.066590804703864,0.0788856152514802,0.0704260128992116,0.0573332214817936,0.0630313797022523,0.0667885330870722,0.06617179014755,0.0762765114943422,0.0704066955114955,0.0759446607606497,0.0646915756823104,0.080579734448991,0.0635645710136039,0.0576201553627477,0.0598187253679349,0.0829542026187478,0.0629128054931005,0.0828271476052328,0.0731040624547836,0.0693038768404172,0.0753659243888293,0.06254671743809,0.0591545527447521
2015-03-13,0.025324441148406,0.0282523726430198,0.0161885476755865,0.0355447304374807,0.0236473008906077,0.0323034732264157,0.0418068494157745,0.0389453191125729,0.0459073976949028,0.045197705528532,0.0360395213484299,0.0465710956554018,0.0295000243435983,0.0379185337862664,0.023244812345026,0.030423518927708,0.0375468126958072,0.0377287488207405,0.0183218625486189,0.0431479023194033,0.0347720905695583,0.0423893903645474,0.0266859010375753,0.0464349967595285,0.0251133073364686,0.0287697682148752,0.0260077612103861,0.0464607409566717,0.0316239206079199,0.0455488626566389,0.0384075165551771,0.0453402404736912,0.0319925021621421,0.0239143184475634,0.0247693711417067
2015-03-20,0.0202748542192771,0.062214452258039,0.0522643693154777,0.0429799818645305,0.05438314542671,0.0522446612252655,0.0676567005980818,0.0475178478426106,0.0490308347999376,0.0444375984731658,0.0587730443147839,0.0532843411906693,0.0550233455317798,0.0518903848416879,0.0460447463059514,0.0371532693519343,0.0647164412345098,0.0416618860215248,0.0534664064050112,0.0503928828123849,0.06545158428211,0.0466592946110622,0.0528989385376296,0.0547899767175203,0.0512420512390703,0.0491855276667623,0.0610931244903272,0.0510673374552044,0.0610110074477761,0.0504918925036893,0.055168027940084,0.0453133571802963,0.0561800227311422,0.0417452543713909,0.0251615221114314
2015-03-27,0.0180038318068193,0.0685120292611866,0.0572329853097723,0.0407424456822913,0.0573492721700727,0.0508201713430224,0.0622015914953731,0.045029116959975,0.0574094474942872,0.0455614732048445,0.0620885869254844,0.0426124134197014,0.0551620163595313,0.0453379648577619,0.0471179040581652,0.0358168218711296,0.0575855970797153,0.050893944727514,0.0554430429385904,0.0376172363117202,0.0609682317982899,0.0406821140585334,0.0514924156792478,0.0488825259033139,0.0519186445341389,0.0301997288799024,0.0626923720616943,0.0444561228338178,0.061552479491573,0.0430536470307603,0.049714195773822,0.0442584039113985,0.0605565388009364,0.0420736488935519,0.0233625616527824
2015-04-03,0.040059381149698,0.0963374574573656,0.0727176019576981,0.0600738915694141,0.0853762207336317,0.0725543861720748,0.0846025375328943,0.0731760348779262,0.0770514391883236,0.0570077331761268,0.0893065997234873,0.0705485868503721,0.0830685265620225,0.0668070474374126,0.0678816937138281,0.0625496156934917,0.0854785606030186,0.0800724065315478,0.0819143688848086,0.0594663747726891,0.0859265887110329,0.0651831202535285,0.0769042188602829,0.0636592035034612,0.0869152011670534,0.0567850391356095,0.0878020949365055,0.0589211315535424,0.0881010391680228,0.0585342899531737,0.0774867330485538,0.0588767169820027,0.0833940263590409,0.0659710906590968,0.0464111307669917
2015-04-10,0.0354784130363277,0.0639086387167355,0.0515062099010979,0.0367185325536023,0.055638296768157,0.0448369822210921,0.0592036789316617,0.0477733607149919,0.0517908729984479,0.0479790706672481,0.0597654490636476,0.0451965891241366,0.0536084915945826,0.0467557595343782,0.0496679277865207,0.043764946547865,0.0661645089502855,0.0586473059873286,0.0567166548612061,0.0505664824280476,0.0518226393029193,0.033957485555741,0.0466666288354247,0.0463984657117564,0.0443060531614084,0.0405286386258255,0.0544501444577118,0.0311952049149876,0.0545841489168651,0.0323054835178695,0.0563223517518215,0.0422739349074114,0.0507475195224619,0.0427823499843144,0.0289724888341625
2015-04-17,0.0537912984095938,0.062807382755304,0.0463480953621317,0.0342532545738862,0.0513198906531923,0.0476117056934696,0.0521031113269545,0.0488771560107286,0.0594567683929214,0.0524720285041416,0.0556751373285134,0.0601323498902973,0.0475591127625572,0.0567668623083855,0.0526112541055073,0.050420904198559,0.0666006670638792,0.0526689069977028,0.060499120417243,0.0592385767291071,0.0547552977001072,0.0403541878918819,0.0454934219017656,0.0575675628483984,0.0514862560468948,0.0445789488989626,0.0468772446466174,0.0343132074484831,0.0521317844408922,0.034121388916205,0.058903852623621,0.0532616891286277,0.0508457876141805,0.0527740928595276,0.0548078906310196
2015-04-24,0.0417039329020396,0.0374415874778826,0.0298555364267572,0.0285453867603538,0.0256664529323465,0.0246849877900035,0.041456769481434,0.0453934893347559,0.0441523190635835,0.031811431119025,0.0241949434833077,0.0402308939763881,0.0211226838114603,0.0346270446152682,0.030498069551735,0.0268235019898228,0.051790219371878,0.0435666824685965,0.0441272356471359,0.0348206763544308,0.0294213180164234,0.0298771020469957,0.024378633624488,0.0447764984692095,0.0301161592415542,0.0341042695090615,0.0245243927456743,0.0338808129759521,0.0273865023309424,0.0333777681180487,0.0437935038502538,0.0361367909796235,0.0291996968552492,0.0261147425275168,0.0338759186507916
